,ticker,marcap,price,numberOfDays,priceToEarning,peg,priceToBook,valueBeforeEbitda,dividend,roe,roa,ebitOnInterest,bookValuePerShare,interestMargin,badDebtPercentage,currentPayment,quickPayment,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnEbitda,income5year,sale5year,income1quarter,sale1quarter,nextIncome,nextSale,rsi,rs
0,MTG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,GAS,195223,102000,-3,13.2,0.2,3.3,9.3,0.0,0.267,0.183,40.0,,,,4.5,4.1,0.221,,0.147,0.1,0.3,0.088,0.093,0.073,-0.094,0.147,0.15,39.1,41.0
2,PGD,2898,32200,1,7.0,0.1,1.9,2.1,0.0,0.281,0.119,,,,,1.6,1.5,0.121,,0.061,0.0,0.0,0.146,0.107,0.524,-0.116,0.204,0.2,56.6,69.0
3,DDG,2519,42100,0,55.5,5.8,3.3,17.7,0.0,0.062,0.027,1.2,,,,1.2,1.1,0.158,,0.005,1.2,4.3,0.36,0.349,-0.894,0.044,-0.02,0.15,42.7,59.0
4,TLP,1822,7700,0,31.2,-0.7,0.8,8.6,0.0,0.024,0.007,5.0,,,,1.0,0.7,0.044,,0.019,0.5,8.9,-0.184,0.252,,-0.091,-2.934,-0.18,58.1,52.0
5,PEG,1493,6000,0,511.3,-6.6,2.2,55.9,0.0,0.004,0.002,-40.6,,,,0.7,0.6,0.055,,,0.0,0.9,,0.141,,-0.078,29.113,-0.3,18.7,22.0
6,PGS,1295,25900,1,13.2,0.5,1.3,5.8,0.0,0.097,0.041,3.5,,,,1.0,0.9,0.14,,0.005,0.3,0.8,-0.021,0.023,-0.619,0.002,0.275,0.2,49.5,61.0
7,PGC,953,15800,1,7.9,7.2,1.2,12.8,0.0,0.147,0.049,2.0,,,,1.2,1.1,0.178,,0.032,1.3,5.7,-0.031,0.063,0.091,0.039,0.207,0.15,48.9,48.0
8,PSH,749,5940,-2,-3.8,0.0,0.5,36.2,0.0,-0.122,-0.02,1.3,,,,1.0,0.1,0.082,,0.019,2.6,27.5,,0.01,6.073,1.09,-1.591,0.1,47.4,28.0
9,CNG,740,27400,-2,5.8,0.1,1.3,1.7,0.0,0.231,0.106,29.1,,,,1.6,1.5,0.093,,0.038,0.1,0.2,0.015,0.261,0.985,-0.128,0.145,0.15,47.9,50.0
10,CCI,498,28400,-1,20.0,-0.9,1.9,18.2,0.043,0.091,0.034,,,,,15.6,15.4,0.192,,0.125,0.0,0.0,-0.028,0.072,2.091,-0.078,0.0,0.05,52.4,86.0
11,PMG,463,10000,0,51.5,-0.4,1.3,37.8,0.0,0.024,0.005,0.3,,,,0.7,0.5,0.134,,0.002,0.9,18.1,-0.298,0.181,,0.031,-0.749,0.02,43.1,66.0
12,HTC,304,18400,0,8.3,1.4,1.0,9.0,0.065,0.127,0.061,36.1,,,,1.1,1.0,0.095,,0.046,0.1,0.8,-0.002,-0.026,1.433,0.069,0.05,0.03,69.6,78.0
13,PVG,277,7600,-1,17.0,0.9,0.6,-4.0,0.0,0.033,0.01,64.5,,,,1.1,1.1,0.111,,0.005,0.0,0.0,0.043,0.053,0.211,0.026,0.769,0.2,43.4,30.0
14,ASP,209,5600,2,134.6,-1.4,0.4,27.3,0.0,0.003,0.001,1.8,,,,0.8,0.7,0.109,,0.042,1.5,22.5,-0.488,0.164,,0.055,-0.705,0.2,56.5,37.0
15,SFC,204,18200,2,11.7,-0.7,1.3,4.9,0.088,0.106,0.069,14.5,,,,2.1,1.8,0.046,,0.007,0.1,1.2,-0.113,0.05,,0.032,0.1,0.07,57.2,67.0
16,TMC,126,10200,-1,28.4,-0.4,0.7,2.1,0.0,0.023,0.012,,,,,1.2,0.7,0.034,,0.0,0.0,0.0,-0.278,0.06,,-0.101,,,41.6,88.0
17,PCG,117,6200,-1,1204.3,-12.4,0.7,-118.6,0.0,0.001,0.0,6.3,,,,2.1,2.0,0.072,,0.024,0.1,-19.4,-0.48,0.057,5.945,-0.123,-0.944,0.03,50.2,19.0
18,POV,110,8780,0,5.8,-0.3,0.6,3.6,0.0,0.105,0.054,12.3,,,,0.9,0.6,0.037,,0.004,0.1,0.4,0.208,0.147,,-0.155,,,48.4,78.0
19,TDG,62,3380,-1,5.7,-0.1,0.3,7.7,0.0,0.05,0.019,,,,,1.1,0.7,0.032,,0.005,1.2,6.4,-0.172,0.341,0.547,0.866,,,44.0,
