,ticker,marcap,price,numberOfDays,priceToEarning,peg,priceToBook,valueBeforeEbitda,dividend,roe,roa,ebitOnInterest,bookValuePerShare,interestMargin,badDebtPercentage,currentPayment,quickPayment,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnEbitda,income5year,sale5year,income1quarter,sale1quarter,nextIncome,nextSale,rsi,rs
0,NDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,DHG,12120,92700,0,12.3,0.5,2.8,10.5,0.0,0.245,0.202,652.4,,,,5.2,3.7,0.467,,0.178,0.0,0.1,0.09,0.029,-0.1,0.145,0.259,0.15,38.0,45.0
2,DVN,4018,16954,0,46.4,-0.8,1.5,32.1,0.0,0.032,0.015,1.6,,,,1.3,0.9,0.098,,0.02,0.4,7.3,-0.166,-0.041,0.23,0.143,-0.355,0.08,51.3,40.0
3,TRA,3726,89900,0,13.8,1.3,2.9,8.0,0.022,0.213,0.153,658.4,,,,2.8,1.7,0.53,,0.067,0.0,0.1,0.022,0.051,-0.462,-0.039,0.187,0.1,49.5,54.0
4,IMP,3137,47050,-6,13.4,0.6,1.6,8.7,0.0,0.126,0.102,110.9,,,,2.9,1.8,0.434,,0.142,0.0,0.5,0.138,0.071,0.415,0.333,0.25,0.25,24.2,17.0
5,DBD,2867,38300,1,11.8,0.4,2.1,10.7,0.0,0.196,0.141,44.6,,,,3.1,2.0,0.485,,0.17,0.1,0.3,0.082,0.023,0.466,0.18,0.07,0.0,45.5,44.0
6,DCL,1676,22950,1,15.0,0.5,1.2,13.2,0.0,0.095,0.057,5.4,,,,2.6,2.0,0.27,,0.127,0.4,3.0,0.085,0.058,0.493,0.411,0.131,0.2,32.6,26.0
7,OPC,1505,23500,0,10.5,0.8,1.9,7.4,0.043,0.192,0.115,-5640.2,,,,2.5,1.4,0.391,,0.122,0.0,0.2,0.104,0.04,-0.031,0.077,-0.03,0.03,46.2,49.0
8,DMC,1476,42500,1,7.4,0.3,1.0,5.2,0.0,0.142,0.116,,,,,4.5,3.5,0.305,,0.163,0.0,0.0,-0.007,0.035,0.444,0.089,0.198,0.12,33.6,34.0
9,PBC,1436,12671,0,23.1,0.2,1.1,16.7,0.0,0.051,0.022,6.1,,,,1.3,0.9,0.262,,0.073,1.0,8.5,0.81,0.027,-0.103,0.128,6.914,0.28,39.0,34.0
10,MKP,708,28000,0,17.0,0.1,0.6,6.2,0.0,0.033,0.026,44.6,,,,4.2,1.2,0.279,,0.049,0.0,0.4,-0.183,-0.027,5.016,0.289,0.479,0.1,52.3,50.0
11,DAN,548,28300,2,14.8,-0.5,0.9,,0.0,0.064,0.041,6.4,,,,2.4,2.0,0.466,,0.121,0.5,4.3,,,-0.479,0.178,,,50.1,67.0
12,AGP,473,26300,0,10.4,0.3,1.5,8.3,0.0,0.165,0.061,2.8,,,,1.2,0.6,0.296,,0.05,1.2,3.5,0.08,0.153,-0.204,0.245,0.127,0.08,58.1,46.0
13,DP1,468,22300,-1,9.8,1.5,1.7,6.7,0.0,0.179,0.042,5.6,,,,1.1,0.7,0.132,,0.023,1.0,2.8,0.079,-0.02,0.234,0.119,0.038,0.05,47.1,76.0
14,CDP,218,11983,0,9.4,0.3,1.0,16.0,0.0,0.11,0.011,0.8,,,,1.0,0.6,0.07,,0.006,3.4,15.7,-0.062,-0.036,-0.047,0.261,0.495,0.05,51.1,
15,DP2,104,5200,0,-4.4,-0.1,0.9,-21.3,0.0,-0.191,-0.048,-0.1,,,,0.6,0.3,0.07,,,1.0,-11.1,,0.046,,0.093,-0.945,0.03,37.8,
16,VHE,93,2800,-1,64.8,-2.0,0.3,10.5,0.0,0.004,0.004,1.1,,,,7.2,0.4,0.022,,0.001,0.1,4.2,-0.292,0.24,-0.784,0.93,-0.075,0.2,36.5,
