,ticker,marcap,price,numberOfDays,priceToEarning,peg,priceToBook,valueBeforeEbitda,dividend,roe,roa,ebitOnInterest,bookValuePerShare,interestMargin,badDebtPercentage,currentPayment,quickPayment,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnEbitda,income5year,sale5year,income1quarter,sale1quarter,nextIncome,nextSale,rsi,rs
0,PMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,SAM,2204,5800,-2,747.5,-7.6,0.6,-1501.4,0.0,0.001,0.0,-0.2,,,,1.4,1.1,0.088,,,0.3,-517.1,-0.514,-0.01,,-0.019,0.619,0.55,43.6,24.0
2,ELC,802,13650,3,25.6,-0.7,0.9,17.1,0.0,0.036,0.027,-14.2,,,,3.7,3.1,0.125,,0.006,0.0,0.6,-0.069,0.09,-0.872,-0.048,0.071,0.3,66.9,81.0
3,VTE,134,8600,0,91.2,-1.9,0.8,22.5,0.0,0.009,0.005,3.1,,,,2.2,1.2,0.127,,0.002,0.5,10.0,-0.22,-0.068,-0.084,0.094,,,65.9,
4,KST,84,14000,0,8.3,0.1,1.2,2.7,0.0,0.145,0.057,,,,,1.4,1.1,0.106,,0.013,0.0,0.0,0.047,-0.003,-0.873,-0.674,,,43.3,
5,VTC,61,13500,1,10.5,0.0,0.8,6.3,0.0,0.078,0.022,3.9,,,,1.4,0.9,0.16,,0.044,1.0,3.4,-0.076,-0.095,,4.973,,,55.1,
6,CKV,49,12300,0,23.2,3.9,0.6,20.3,0.0,0.026,0.013,-39.6,,,,1.4,1.4,0.059,,0.001,0.0,1.8,-0.123,0.256,-0.489,0.745,,,46.6,
7,SMT,43,7800,-1,40.3,-0.8,0.6,-25.7,0.0,0.015,0.005,0.3,,,,1.4,0.8,0.101,,0.144,1.1,-15.2,-0.461,0.0,,0.237,,,49.2,
8,VIE,15,3000,-1,7.6,0.0,1.0,8.5,0.0,0.145,0.097,,,,,3.0,1.9,0.235,,,0.0,0.3,-0.444,0.099,,-0.022,,,25.4,
9,VAT,3,2400,0,-12.4,0.0,0.2,16.8,0.0,-0.018,-0.008,-0.8,,,,1.6,1.4,0.335,,-0.926,0.8,16.6,-0.232,,,-0.972,,,8.0,
