,ticker,marcap,price,numberOfDays,priceToEarning,peg,priceToBook,valueBeforeEbitda,dividend,roe,roa,ebitOnInterest,bookValuePerShare,interestMargin,badDebtPercentage,currentPayment,quickPayment,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnEbitda,income5year,sale5year,income1quarter,sale1quarter,nextIncome,nextSale,rsi,rs
0,PSD,538,13500,0,4.8,-0.2,1.1,8.4,0.0,0.237,0.037,1.5,,,,1.1,0.7,0.051,,0.006,4.1,8.1,0.117,0.092,-0.587,-0.215,-0.015,0.05,37.8,51.0
1,MWG,56413,38550,-3,13.8,-0.8,2.4,7.1,0.0,0.185,0.069,2.9,,,,1.7,0.7,0.259,,0.02,0.7,2.0,0.132,0.15,-0.317,-0.044,0.112,0.05,41.4,20.0
2,FRT,7227,61000,-4,18.5,-1.5,3.6,20.8,0.0,0.213,0.037,2.1,,,,1.1,0.3,0.157,,0.011,2.6,10.1,,,0.118,0.097,0.147,0.2,29.0,14.0
3,DGW,4795,28700,-6,7.0,1.7,2.0,7.6,0.0,0.327,0.106,5.0,,,,1.5,0.7,0.115,,0.038,0.8,1.9,0.539,0.42,-0.136,-0.328,-0.09,0.1,23.1,4.0
4,SAS,3623,27150,0,17.3,0.0,2.4,17.7,0.037,0.143,0.117,13194.0,,,,2.3,1.8,0.542,,0.159,0.0,0.0,-0.063,-0.1,1.509,0.348,28.554,3.2,54.8,65.0
5,AST,2498,55500,-2,107.9,-0.9,6.3,35.2,0.0,0.06,0.043,33.4,,,,3.0,2.6,0.546,,0.083,0.1,0.6,-0.309,-0.017,0.396,0.168,6.076,1.0,45.4,40.0
6,PET,2006,20300,1,14.8,-0.5,1.1,9.8,0.0,0.074,0.015,1.3,,,,1.1,0.8,0.055,,0.0,2.1,7.2,-0.01,0.105,-0.99,0.061,-0.414,0.02,46.9,36.0
7,ABS,456,5700,-2,16.7,-0.3,0.5,13.5,0.0,0.029,0.017,-1.3,,,,1.9,1.9,0.05,,0.015,0.6,7.0,-0.013,0.233,0.795,2.972,-0.666,0.05,46.5,21.0
8,COM,433,30650,2,338.5,-3.5,1.0,46.8,0.049,0.003,0.002,,,,,3.0,1.8,0.02,,,0.0,0.0,-0.578,0.046,,-0.105,-0.017,0.05,49.5,49.0
9,SBV,279,10200,0,113.4,-1.2,0.5,12.4,0.0,0.005,0.003,1.3,,,,2.0,1.7,0.138,,0.004,0.2,4.2,-0.315,-0.051,-0.908,-0.177,-0.502,-0.05,31.9,56.0
10,BSC,41,13000,0,21.9,0.0,1.1,46.5,0.0,0.049,0.046,,,,,13.2,13.2,0.691,,0.388,0.0,0.0,0.158,-0.2,1.03,-0.08,,,1.6,
