,ticker,marcap,price,numberOfDays,priceToEarning,peg,priceToBook,valueBeforeEbitda,dividend,roe,roa,ebitOnInterest,bookValuePerShare,interestMargin,badDebtPercentage,currentPayment,quickPayment,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnEbitda,income5year,sale5year,income1quarter,sale1quarter,nextIncome,nextSale,rsi,rs
0,SJM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,LGC,11571,60000,-1,39.6,1.0,3.3,18.0,0.0,0.086,0.023,3.2,,,,0.6,0.6,0.65,,0.285,1.3,5.8,0.124,0.199,0.414,-0.062,1.041,0.7,51.0,61.0
2,VCG,9888,20350,-2,11.2,0.1,1.4,22.6,0.0,0.131,0.028,1.3,,,,1.5,1.0,0.195,,0.023,1.3,11.3,-0.102,-0.05,-0.764,-0.392,-0.575,0.1,51.6,50.0
3,SNZ,7679,20397,1,12.9,-0.4,1.3,7.1,0.0,0.102,0.027,6.3,,,,2.1,1.6,0.267,,0.05,0.5,2.5,0.128,0.069,-0.448,0.014,0.049,0.02,42.8,27.0
4,PC1,7599,28100,-2,16.9,-0.5,1.5,8.9,0.0,0.092,0.022,2.2,,,,1.3,1.2,0.217,,0.08,1.7,5.4,0.137,0.214,1.85,-0.222,-0.053,-0.15,56.3,63.0
5,CTR,6978,61000,2,15.7,0.9,4.3,9.1,0.0,0.302,0.088,7.4,,,,1.2,1.0,0.076,,0.049,0.9,1.1,0.303,0.232,-0.033,-0.025,0.207,0.15,69.6,79.0
6,HUT,5543,15900,2,39.9,0.2,1.4,23.3,0.0,0.036,0.012,-0.6,,,,1.2,1.2,0.197,,0.085,1.2,12.2,-0.139,-0.132,1.73,0.043,-1.634,0.2,56.5,64.0
7,SJG,5305,11800,0,3.8,0.0,0.8,168.1,0.0,0.248,0.057,0.0,,,,1.2,1.0,0.284,,0.059,0.9,109.1,0.242,-0.097,-0.561,-0.07,1.237,0.07,31.3,27.0
8,HHV,4140,13450,1,15.1,16.3,0.6,20.9,0.0,0.04,0.008,1.4,,,,0.4,0.4,0.422,,0.101,2.5,16.9,0.843,0.371,-0.15,0.095,0.19,0.08,55.8,60.0
9,CII,3682,14600,-2,5.0,0.0,0.7,13.7,0.0,0.142,0.025,0.5,,,,0.8,0.6,0.162,,0.002,1.8,10.1,-0.144,0.23,-0.466,-0.146,-3.782,0.6,57.3,55.0
10,C4G,3642,10805,-1,22.7,0.1,1.5,23.9,0.0,0.086,0.02,1.9,,,,1.5,1.3,0.133,,0.063,1.4,13.0,0.026,-0.076,1.258,0.39,0.06,0.1,49.6,42.0
11,CC1,3428,10433,1,16.3,-0.3,0.9,32.3,0.0,0.075,0.015,1.5,,,,1.6,1.4,0.057,,0.062,1.6,20.0,0.482,0.017,6.315,1.068,2.874,-0.02,43.1,9.0
12,LCG,2399,12650,-2,12.4,2.5,1.0,31.7,0.0,0.08,0.036,0.8,,,,1.7,1.2,0.116,,0.126,0.2,7.5,0.197,-0.079,0.023,0.346,0.016,0.5,56.0,61.0
13,HBC,2273,8290,-1,-2.0,0.0,0.9,-16.8,0.0,-0.36,-0.067,-5.7,,,,1.2,1.0,,,,2.3,-11.3,,-0.025,,-0.148,1.183,0.3,50.3,39.0
14,FCN,1811,11500,-2,46.3,-0.7,0.7,18.3,0.0,0.015,0.005,-0.3,,,,1.7,1.1,0.074,,0.03,0.8,9.4,-0.251,0.056,3.574,0.262,0.031,0.16,54.1,55.0
15,TCD,1401,5730,-3,4.2,0.8,0.4,21.2,0.0,0.138,0.042,0.4,,,,1.4,1.3,0.106,,,0.7,10.7,0.397,0.219,,0.527,0.161,0.1,34.8,23.0
16,TTA,1360,8640,-1,6.1,0.1,0.7,5.2,0.0,0.121,0.048,1.9,,,,0.5,0.5,0.544,,0.203,1.1,3.3,0.121,0.224,-0.296,-0.106,0.314,0.05,43.5,38.0
17,HAN,1137,8064,0,18.8,0.5,0.8,14.9,0.0,0.041,0.008,9.2,,,,1.3,1.0,0.078,,0.022,0.6,7.2,-0.117,-0.07,8.77,1.086,-0.02,0.15,46.3,44.0
18,PVX,998,2494,1,21.1,-1.0,2.9,24.1,0.0,0.154,0.007,-2.7,,,,0.9,0.6,0.024,,,1.1,10.8,,-0.139,,0.097,-0.508,-0.03,62.8,53.0
19,EVG,702,3260,-1,28.3,0.5,0.3,36.2,0.0,0.015,0.01,,,,,6.5,5.7,0.022,,0.011,0.0,0.0,0.002,0.209,-0.531,-0.171,1.677,0.12,45.5,26.0
