,ticker,marcap,price,numberOfDays,priceToEarning,peg,priceToBook,valueBeforeEbitda,dividend,roe,roa,ebitOnInterest,bookValuePerShare,interestMargin,badDebtPercentage,currentPayment,quickPayment,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnEbitda,income5year,sale5year,income1quarter,sale1quarter,nextIncome,nextSale,rsi,rs
0,SRT,216,4300,0,518.0,-5.2,1.9,27.2,0.0,0.004,0.0,-2.8,,,,0.4,0.3,0.104,,,4.2,23.1,-0.447,-0.034,,-0.343,-1.341,0.06,45.7,9.0
1,TSJ,3590,48000,0,117.7,18.6,4.5,228.5,0.0,0.038,0.037,,,,,19.8,19.8,0.208,,0.143,0.0,0.0,-0.205,-0.05,-0.462,-0.132,-0.039,-0.5,81.9,88.0
2,DSP,1365,11500,-2,-32.9,0.7,1.4,-17.1,0.0,-0.043,-0.039,-209.7,,,,4.8,4.8,,,,0.1,-0.5,,-0.082,,-0.435,-1.169,0.5,46.9,45.0
3,VNS,1174,17300,-3,6.4,0.0,0.9,3.4,0.0,0.142,0.108,9.2,,,,4.1,4.0,0.266,,0.17,0.2,0.6,-0.006,-0.18,-0.076,-0.081,-0.277,0.01,46.1,50.0
4,SKG,937,14800,-1,21.1,-0.1,1.1,10.2,0.0,0.054,0.053,,,,,32.7,30.4,0.077,,,0.0,0.0,-0.243,0.004,,-0.268,0.055,0.0,52.1,48.0
5,VTR,743,25916,1,6.1,0.0,5.9,22.8,0.0,1.756,0.062,-2.4,,,,1.0,1.0,0.025,,0.202,5.6,12.3,0.27,-0.092,31.908,-0.234,-2.472,-0.75,48.0,56.0
6,BSG,615,10247,-2,41.2,-0.3,2.1,6.8,0.0,0.052,0.027,,,,,0.8,0.8,0.214,,0.064,0.1,0.7,0.305,-0.03,-0.2,0.229,-0.862,0.01,31.0,26.0
7,HRT,359,4490,0,83.3,-0.8,0.9,5.5,0.0,0.01,0.003,-3.7,,,,0.8,0.7,0.01,,,1.3,4.0,,0.005,,-0.15,15.119,0.07,46.2,90.0
8,TCT,352,27500,1,12.2,0.0,1.1,25.5,0.0,0.094,0.089,,,,,13.8,13.6,,,,0.0,0.0,-0.173,-0.164,,-0.541,-0.18,0.031,31.8,46.0
9,VTG,326,17500,0,11.3,0.0,2.0,33.9,0.0,0.193,0.136,,,,,3.1,3.1,0.262,,,0.1,1.4,,-0.157,,-0.595,0.509,0.05,54.9,
10,BTV,215,8600,1,11.5,-0.1,1.1,9.8,0.0,0.101,0.054,6.6,,,,1.3,1.1,0.122,,0.019,0.1,1.4,-0.055,-0.006,-0.032,0.289,-1.707,-0.75,37.9,84.0
11,HGT,194,9700,0,-20.9,0.3,1.4,-46.4,0.0,-0.065,-0.045,-7.9,,,,1.2,1.2,,,,0.2,-7.0,,,,-0.28,,,0.1,
12,HOT,167,20850,1,-8.8,1.0,4.4,-11.1,0.0,-0.4,-0.268,-49.7,,,,0.3,0.2,,,,0.1,-0.2,,-0.263,,-0.187,-0.266,-0.19,43.9,75.0
13,PDC,71,4757,0,9.3,-0.1,0.5,4.1,0.0,0.058,0.028,,,,,0.7,0.7,0.521,,0.351,0.0,0.0,0.036,-0.121,0.417,-0.094,,,52.9,36.0
14,HHG,42,1200,0,-0.7,0.0,0.3,-7.4,0.0,-0.301,-0.21,-10.0,,,,0.1,0.1,,,,0.4,-4.3,,-0.213,,-0.323,0.18,0.35,42.7,
15,PGT,29,3100,0,-9.6,0.0,1.2,-3.5,0.0,-0.099,-0.047,-12.6,,,,1.0,1.0,0.336,,,0.4,-1.1,,0.123,,0.206,,,47.2,
16,CTC,28,1800,0,-1.2,0.0,0.2,-12.3,0.0,-0.188,-0.078,0.0,,,,0.7,0.4,0.155,,,1.0,-9.6,,-0.213,,-0.207,,,47.2,
17,STT,14,4600,-1,-3.5,0.3,36.2,-14.1,0.0,-1.125,-0.26,-1.3,,,,0.5,0.5,0.063,,-0.088,10.0,-0.9,,-0.207,,-0.001,,,24.8,
