,ticker,marcap,price,numberOfDays,priceToEarning,peg,priceToBook,valueBeforeEbitda,dividend,roe,roa,ebitOnInterest,bookValuePerShare,interestMargin,badDebtPercentage,currentPayment,quickPayment,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnEbitda,income5year,sale5year,income1quarter,sale1quarter,nextIncome,nextSale,rsi,rs
0,SSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,HPG,120948,20800,0,14.3,-0.2,1.3,8.8,0.0,0.091,0.049,-2.1,,,,1.3,0.7,,,,0.6,2.9,0.012,0.251,,-0.243,,,51.6,60.0
2,HSG,9629,16100,-2,-9.0,0.1,0.9,36.1,0.0,-0.1,-0.055,-12.7,,,,1.6,0.5,0.02,,,0.3,11.6,,0.076,,-0.003,-1.239,0.05,53.2,60.0
3,NKG,4054,15400,-2,-60.8,0.6,0.8,16.5,0.0,-0.012,-0.005,-4.1,,,,1.3,0.4,,,,1.0,8.4,,0.128,,-0.028,-0.536,-0.01,47.7,48.0
4,TVN,3482,5136,-1,-4.2,0.0,0.4,53.8,0.0,-0.091,-0.033,0.1,,,,1.0,0.5,0.038,,,0.8,38.1,,0.142,,-0.057,-1.614,-0.05,34.8,21.0
5,SHI,2226,13750,-1,38.2,-2.2,1.3,14.4,0.0,0.041,0.009,1.1,,,,1.2,0.8,0.102,,0.012,1.9,7.5,-0.102,0.175,,0.266,1.402,0.1,38.5,38.0
6,DTL,1673,27600,0,-13.8,0.0,1.8,21.3,0.0,-0.121,-0.057,-2.2,,,,1.2,0.4,,,,1.2,6.0,,-0.126,,2.629,0.231,-0.4,46.2,47.0
7,POM,1365,4900,-1,-1.1,0.0,0.5,-11.8,0.0,-0.385,-0.101,-1.9,,,,0.5,0.4,,,,2.5,-10.0,,0.026,,-0.394,-1.116,0.07,33.5,18.0
8,TIS,846,4600,0,-87.9,0.8,0.4,19.9,0.0,-0.005,-0.001,0.5,,,,0.4,0.1,0.062,,,2.4,17.1,,0.038,,-0.166,5.742,0.344,35.5,15.0
9,TLH,723,7080,-1,133.0,-1.3,0.4,12.1,0.0,0.003,0.001,-1.9,,,,1.6,0.3,,,,0.8,7.1,-0.563,0.014,,0.433,-0.466,0.05,52.5,51.0
10,SMC,705,9580,0,-1.2,0.0,0.4,-15.9,0.0,-0.283,-0.066,-6.0,,,,1.0,0.8,,,,2.1,-14.9,,0.129,,-0.259,-0.724,0.1,43.9,22.0
11,VGS,610,12600,-2,6.1,-0.3,0.7,8.3,0.0,0.114,0.047,1.9,,,,1.2,0.9,0.02,,0.008,0.7,4.4,0.07,0.072,2.541,0.213,-0.076,0.02,50.3,66.0
12,TTS,411,8100,0,151.4,-2.2,1.4,8.4,0.0,0.009,0.002,0.7,,,,0.6,0.5,0.011,,,1.5,4.6,-0.35,0.354,,-0.377,1.706,0.05,76.5,67.0
13,CBI,348,8100,1,44.9,-0.5,0.8,5.9,0.0,0.018,0.004,0.4,,,,0.6,0.1,0.037,,,2.2,4.4,0.275,-0.005,,0.031,-5.973,0.25,45.2,44.0
14,TNA,286,5800,-1,12.8,2.9,0.5,12.2,0.0,0.038,0.009,0.3,,,,1.1,0.6,0.02,,,2.1,11.6,-0.259,0.091,,-0.043,0.572,0.11,34.1,20.0
15,TNI,142,2710,-1,45.5,-0.4,0.3,8.3,0.0,0.006,0.003,-11.5,,,,1.5,0.9,,,,0.6,5.2,-0.294,0.104,,-0.6,-0.283,0.05,37.7,
16,SHA,132,3960,3,7.3,5.5,0.3,8.9,0.0,0.045,0.018,1.1,,,,1.3,0.6,0.139,,0.015,1.2,7.3,-0.13,0.044,-0.136,-0.052,-0.21,0.24,50.3,
17,ITQ,76,2400,-1,-4.1,0.0,0.2,-15.5,0.0,-0.062,-0.035,-8.4,,,,1.9,0.9,,,,0.4,-7.8,,0.106,,1.178,,,43.2,27.0
18,KVC,69,1400,0,-5.8,0.1,0.1,7.7,0.0,-0.025,-0.019,-1.7,,,,2.5,0.5,,,,0.2,4.9,,-0.17,,0.14,,,48.2,12.0
19,HLA,16,598,1,-0.2,0.0,0.0,-73.7,0.0,0.087,-0.579,-0.1,,,,0.0,0.0,,,,-0.4,-71.6,,-0.417,,0.152,,,52.8,47.0
