,ticker,marcap,price,numberOfDays,priceToEarning,peg,priceToBook,valueBeforeEbitda,dividend,roe,roa,ebitOnInterest,bookValuePerShare,interestMargin,badDebtPercentage,currentPayment,quickPayment,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnEbitda,income5year,sale5year,income1quarter,sale1quarter,nextIncome,nextSale,rsi,rs
0,VIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MSR,11327,10305,-1,164.1,-2.5,0.8,9.0,0.0,0.005,0.002,0.5,,,,0.7,0.3,0.096,,,1.1,5.3,-0.196,0.235,,0.105,0.771,0.2,40.5,31.0
2,KSV,5400,27000,0,-265.8,2.6,2.2,7.5,0.0,-0.008,-0.002,-1.5,,,,0.9,0.3,,,,1.4,3.3,,0.178,,0.096,-1.365,0.1,56.9,41.0
3,KSB,2029,26600,-2,13.3,-0.3,1.0,13.9,0.0,0.082,0.037,0.7,,,,1.5,1.5,0.283,,0.079,0.6,4.1,-0.113,-0.047,-0.694,0.009,-0.08,0.05,56.4,58.0
4,MVB,1890,18000,0,9.2,-0.3,1.2,3.6,0.0,0.125,0.058,10.2,,,,1.2,0.9,0.187,,0.065,0.3,1.1,0.128,0.058,,0.267,0.35,0.1,52.8,40.0
5,SQC,966,9000,0,-37.2,0.0,1.3,-6924.9,0.0,-0.036,-0.034,,,,,0.1,0.1,0.267,,,0.0,-142.6,,-0.576,,0.031,-0.665,-0.7,51.0,14.0
6,VPG,950,11850,-1,15.2,-0.2,0.7,7.3,0.004,0.053,0.015,-1.8,,,,1.2,0.8,,,,1.1,10.1,0.16,0.205,,0.11,-0.155,1.0,43.1,22.0
7,HGM,578,48500,0,10.7,-0.5,3.2,4.7,0.052,0.287,0.244,,,,,7.0,5.1,0.583,,0.223,0.0,0.0,0.15,0.14,0.387,0.594,-0.302,-0.15,81.7,82.0
8,MTA,529,4800,1,-13.0,0.1,0.5,101.7,0.0,-0.036,-0.02,-4.6,,,,1.1,0.7,0.014,,,0.3,40.2,,0.034,,0.356,-0.711,0.25,53.0,36.0
9,DHM,366,11650,-1,-12260.9,122.6,1.1,14.9,0.0,0.0,0.0,2.0,,,,1.6,1.2,0.004,,,0.4,3.8,-0.185,0.099,,0.345,,,51.0,10.0
10,TNT,190,3720,-2,27.4,-0.4,0.3,-20.5,0.0,0.012,0.012,-49.3,,,,12.9,12.2,0.05,,,0.1,2.3,0.127,0.216,,-0.846,-0.725,0.02,42.7,65.0
11,BMC,162,13100,0,7.6,0.3,0.7,1.5,0.0,0.1,0.088,,,,,8.8,6.1,0.196,,0.119,0.0,0.0,0.171,-0.034,0.718,1.384,-0.063,0.03,50.4,37.0
12,YBM,87,6050,2,7.3,-0.3,0.5,6.3,0.0,0.067,0.028,2.4,,,,1.1,0.7,0.321,,0.039,1.1,4.5,-0.209,0.138,1.522,0.352,-0.108,0.2,58.3,
13,LCM,55,2214,-1,-36.1,-0.1,0.2,-38.1,0.0,-0.007,-0.006,,,,,4.5,3.3,0.094,,,0.0,0.0,,-0.049,,-0.353,,,41.4,
14,KSQ,51,1700,-1,-12.6,0.1,0.2,-248.8,0.0,-0.013,-0.011,,,,,5.7,5.7,0.008,,,0.1,-39.2,,0.582,,,,,47.1,
15,SPI,40,2400,-1,-5.4,0.0,0.3,-6.0,0.0,-0.049,-0.031,,,,,1.3,1.2,0.006,,,0.0,0.0,,-0.466,,-0.938,,,51.5,
16,ATG,36,2388,0,-1.5,0.0,0.3,,0.0,-0.201,-0.182,,,,,5.1,5.1,,,,0.0,-0.1,0.507,,,,,,63.9,
17,KSH,34,599,0,-197.9,0.1,0.1,-282.7,0.0,0.0,0.0,,,,,31.6,31.6,,,,0.0,0.0,,,,,,,11.8,20.0
18,ACM,26,516,-1,-2.5,0.1,0.1,-70.0,0.0,-0.029,-0.02,-0.2,,,,0.8,0.1,,,,0.2,-52.8,,,,,,,19.2,
