,ticker,marcap,price,numberOfDays,priceToEarning,peg,priceToBook,valueBeforeEbitda,dividend,roe,roa,ebitOnInterest,bookValuePerShare,interestMargin,badDebtPercentage,currentPayment,quickPayment,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnEbitda,income5year,sale5year,income1quarter,sale1quarter,nextIncome,nextSale,rsi,rs
0,VTB,127,11800,0,7.0,0.0,0.7,5.1,0.042,0.097,0.073,84.6,,,,4.8,3.5,0.272,,0.132,0.0,0.2,0.002,-0.213,3.906,0.613,,,39.4,55.0
1,CAV,3191,55500,0,8.3,0.6,1.7,5.6,0.072,0.212,0.068,6.7,,,,1.3,0.3,0.116,,0.043,1.0,2.4,0.033,0.107,2.472,0.062,-0.185,0.15,54.6,73.0
2,PAC,1459,31400,1,9.2,-1.0,1.6,8.7,0.032,0.176,0.065,2.1,,,,1.2,0.6,0.132,,0.037,1.3,3.7,0.031,0.054,-0.336,-0.24,0.144,0.05,53.5,63.0
3,NAG,532,16800,0,25.5,1.4,1.4,21.8,0.0,0.071,0.016,0.9,,,,1.2,0.6,0.124,,0.012,2.2,12.5,0.059,0.305,,0.203,,,39.7,75.0
4,TYA,356,11600,1,11.1,-0.2,0.7,13.2,0.0,0.065,0.027,1.8,,,,1.7,1.1,0.083,,0.023,1.0,7.9,-0.149,0.06,,-0.111,0.142,0.088,48.4,68.0
5,PHN,290,40000,0,7.9,0.4,2.3,5.0,0.0,0.311,0.232,2930.2,,,,5.3,2.4,0.201,,0.092,0.0,0.2,0.121,0.065,0.357,-0.111,,,77.8,
6,TSB,250,37000,0,72.0,-2.9,3.2,23.1,0.0,0.044,0.034,8.4,,,,3.3,0.7,0.163,,0.025,0.1,0.9,-0.03,-0.02,0.143,-0.02,,,52.5,
7,VTH,56,7100,-1,20.4,-0.6,0.7,13.8,0.0,0.033,0.013,1.4,,,,1.3,0.7,0.089,,0.003,1.3,7.6,-0.104,-0.014,0.358,0.162,,,44.9,
8,VBH,52,12000,0,58.3,-0.3,2.3,123.3,0.0,0.04,0.036,,,,,185.3,182.7,0.221,,0.021,0.0,0.0,0.401,0.013,-0.07,0.226,,,94.7,
9,TIE,26,9600,0,-2.8,0.0,0.5,-3.0,0.0,-0.151,-0.128,0.2,,,,2.1,1.3,0.251,,-0.07,0.1,-0.2,,-0.161,,0.351,,,50.6,14.0
