exchange,shortName,industryID,industryIDv2,industry,industryEn,establishedYear,noEmployees,noShareholders,foreignPercent,website,stockRating,deltaInWeek,deltaInMonth,deltaInYear,outstandingShare,issueShare,companyType,ticker,status,code,message,traceId
UPCOM,Ngân hàng An Bình,289.0,8355.0,Ngân hàng,Banks,1993.0,3614.0,5409.0,0.246,http://www.abbank.vn,3.7,-0.004,-0.042,-0.217,940.9,940.9,NH,ABB,,,,
HOSE,ACB,289.0,8355.0,Ngân hàng,Banks,1993.0,11008.0,44011.0,0.3,http://www.acb.com.vn,4.2,0.001,-0.012,0.244,3377.4,3377.4,NH,ACB,,,,
HOSE,BIDV,289.0,8355.0,Ngân hàng,Banks,1993.0,25416.0,36773.0,0.173,http://www.bidv.com.vn,3.6,-0.003,0.002,0.347,5058.5,5058.5,NH,BID,,,,
HOSE,VietinBank,289.0,8355.0,Ngân hàng,Banks,1988.0,22564.0,0.0,0.281,http://www.vietinbank.vn,4.0,0.008,0.017,0.197,4805.8,4805.8,NH,CTG,,,,
HOSE,Eximbank,289.0,8355.0,Ngân hàng,Banks,1992.0,6136.0,0.0,0.083,http://www.eximbank.com.vn,3.7,-0.028,-0.004,-0.108,1475.3,1481.4,NH,EIB,,,,
UPCOM,Ngân hàng Bản Việt,289.0,8355.0,Ngân hàng,Banks,1992.0,1487.0,15941.0,0.001,http://www.vietcapitalbank.com.vn,3.4,0.022,0.085,-0.091,513.9,367.1,NH,BVB,,,,
HOSE,HDBank,289.0,8355.0,Ngân hàng,Banks,1992.0,13992.0,6015.0,0.19,http://www.hdbank.com.vn,4.0,0.049,0.097,0.136,2515.3,2530.3,NH,HDB,,,,
UPCOM,KienlongBank,289.0,8355.0,Ngân hàng,Banks,1995.0,4782.0,2735.0,0.0,http://www.kienlongbank.com,3.9,-0.017,-0.023,-0.432,361.5,365.3,NH,KLB,,,,
HOSE,LienVietPostBank,289.0,8355.0,Ngân hàng,Banks,2008.0,8105.0,59906.0,0.049,http://www.lienvietpostbank.com.vn,3.9,-0.024,0.073,0.18,1729.1,1729.1,NH,LPB,,,,
HOSE,MBBank,289.0,8355.0,Ngân hàng,Banks,1994.0,15910.0,126621.0,0.232,http://www.mbbank.com.vn,4.2,0.011,0.015,-0.043,4534.0,4534.0,NH,MBB,,,,
HOSE,MSB Bank,289.0,8355.0,Ngân hàng,Banks,1991.0,5190.0,36939.0,0.3,https://msb.com.vn/,4.0,0.02,0.008,-0.069,2000.0,2000.0,NH,MSB,,,,
UPCOM,Ngân hàng Nam Á,289.0,8355.0,Ngân hàng,Banks,1992.0,1000.0,0.0,0.0,http://www.namabank.com.vn,4.1,-0.007,0.01,-0.089,846.4,846.4,NH,NAB,,,,
HNX,Ngân hàng Bắc Á,289.0,8355.0,Ngân hàng,Banks,2011.0,2042.0,1678.0,0.0,http://www.baca-bank.vn,3.7,-0.052,-0.064,-0.042,833.4,813.4,NH,BAB,,,,
HNX,Ngân hàng Quốc Dân,289.0,8355.0,Ngân hàng,Banks,1995.0,2000.0,1440.0,0.088,http://www.ncb-bank.vn,3.0,-0.024,-0.168,-0.287,556.8,560.2,NH,NVB,,,,
HOSE,Ngân hàng Phương Đông,289.0,8355.0,Ngân hàng,Banks,1996.0,1879.0,0.0,0.215,https://www.ocb.com.vn/,3.8,0.034,-0.027,-0.059,1369.9,1369.9,NH,OCB,,,,
UPCOM,PG Bank,289.0,8355.0,Ngân hàng,Banks,1993.0,1442.0,10591.0,0.0,http://www.pgbank.com.vn,3.4,0.118,0.24,0.01,300.0,300.0,NH,PGB,,,,
HOSE,SeABank,289.0,8355.0,Ngân hàng,Banks,2011.0,5320.0,3732.0,0.002,https://www.seabank.com.vn,3.3,-0.025,-0.044,0.272,2040.3,2040.3,NH,SSB,,,,
UPCOM,Sài Gòn Công thương,289.0,8355.0,Ngân hàng,Banks,1993.0,1483.0,2777.0,0.0,http://www.saigonbank.com.vn,3.3,-0.038,0.078,0.045,308.0,308.0,NH,SGB,,,,
HOSE,SHB,289.0,8355.0,Ngân hàng,Banks,2006.0,7546.0,63268.0,0.068,http://www.shb.com.vn,3.8,0.007,0.056,-0.146,3066.9,3067.4,NH,SHB,,,,
HOSE,Sacombank,289.0,8355.0,Ngân hàng,Banks,1991.0,18818.0,92620.0,0.281,http://www.sacombank.com.vn,4.0,0.029,0.068,0.098,1885.2,1885.2,NH,STB,,,,
HOSE,Techcombank,289.0,8355.0,Ngân hàng,Banks,1993.0,9757.0,1901.0,0.225,http://www.techcombank.com.vn,4.2,0.055,0.008,-0.137,3517.2,3517.2,NH,TCB,,,,
HOSE,TPBank,289.0,8355.0,Ngân hàng,Banks,2008.0,4985.0,15209.0,0.3,http://www.tpb.vn,4.3,-0.008,0.017,-0.098,1581.8,1581.8,NH,TPB,,,,
UPCOM,Ngân hàng Việt Á,289.0,8355.0,Ngân hàng,Banks,2003.0,1673.0,1913.0,0.0,http://www.vietabank.com.vn,4.2,-0.017,-0.056,-0.207,540.0,540.0,NH,VAB,,,,
HOSE,Vietcombank,289.0,8355.0,Ngân hàng,Banks,2008.0,17215.0,26686.0,0.236,http://www.vietcombank.com.vn,3.9,0.01,-0.058,0.4,4732.5,4732.5,NH,VCB,,,,
HOSE,VIBBank,289.0,8355.0,Ngân hàng,Banks,1996.0,5372.0,1316.0,0.205,http://www.vib.com.vn,3.9,0.004,-0.001,-0.072,2107.7,2107.7,NH,VIB,,,,
HOSE,VPBank,289.0,8355.0,Ngân hàng,Banks,1993.0,25413.0,18747.0,0.176,http://www.vpbank.com.vn,3.6,-0.022,0.196,0.144,6713.2,6743.4,NH,VPB,,,,
UPCOM,VietBank,289.0,8355.0,Ngân hàng,Banks,2011.0,2576.0,410.0,0.0,http://www.vietbank.com.vn,3.4,-0.017,-0.106,-0.086,477.7,477.7,NH,VBB,,,,
