exchange,shortName,industryID,industryIDv2,industry,industryEn,establishedYear,noEmployees,noShareholders,foreignPercent,website,stockRating,deltaInWeek,deltaInMonth,deltaInYear,outstandingShare,issueShare,companyType,ticker,status,code,message,traceId
HNX,Nhựa Việt Thành,150.0,1353.0,Hóa chất,Chemicals,2011.0,397.0,245.0,0.001,https://vithacoplastic.com,3.4,-0.029,0.024,-0.017,23.0,23.0,CT,VTZ,,,,
HNX,Nhựa Picomat,150.0,1353.0,Hóa chất,Chemicals,2010.0,51.0,129.0,0.0,https://picomat.vn,4.0,-0.213,-0.222,,20.0,20.0,CT,PCH,,,,
HOSE,An Phát Bioplastics,150.0,1353.0,Hóa chất,Chemicals,2002.0,2713.0,27697.0,0.02,https://anphatbioplastics.com,3.5,0.015,0.025,-0.215,382.3,382.3,CT,AAA,,,,
UPCOM,Tập đoàn Lộc Trời (BVTV An Giang),151.0,1357.0,Hóa chất,Chemicals,2004.0,3420.0,2521.0,0.397,http://www.agpps.com.vn,3.7,0.029,0.0,-0.074,80.6,80.6,CT,LTG,,,,
UPCOM,Phụ gia và SP Dầu mỏ,151.0,1357.0,Hóa chất,Chemicals,1996.0,97.0,597.0,0.005,http://www.app.com.vn,3.4,-0.039,-0.145,-0.373,4.7,4.7,CT,APP,,,,
HOSE,An Tiến Industries,150.0,1353.0,Hóa chất,Chemicals,2009.0,460.0,974.0,0.005,http://www.antienindustries.com,3.7,-0.022,-0.083,-0.434,73.7,73.7,CT,HII,,,,
UPCOM,Cao su Bà Rịa,150.0,1353.0,Hóa chất,Chemicals,2010.0,0.0,1383.0,0.0,http://www.baruco.com.vn,3.5,-0.046,-0.067,0.176,112.5,112.5,CT,BRR,,,,
HOSE,Phân bón Bình Điền,151.0,1357.0,Hóa chất,Chemicals,2011.0,1234.0,1931.0,0.043,https://binhdien.com/,3.6,-0.008,-0.024,-0.303,57.2,57.2,CT,BFC,,,,
HOSE,Cao su Bến Thành,150.0,1353.0,Hóa chất,Chemicals,1975.0,204.0,462.0,0.006,http://www.berubco.com.vn,4.2,0.104,0.025,-0.017,12.4,12.4,CT,BRC,,,,
HNX,Thuốc sát trùng Cần Thơ,151.0,1357.0,Hóa chất,Chemicals,1996.0,197.0,343.0,0.071,http://www.tstcantho.com.vn,4.2,-0.017,-0.063,-0.014,4.1,4.3,CT,CPC,,,,
HOSE,Hóa chất Cơ bản miền Nam,151.0,1357.0,Hóa chất,Chemicals,1976.0,636.0,4356.0,0.044,http://www.sochemvn.com,4.3,-0.024,-0.046,-0.259,44.2,44.2,CT,CSV,,,,
HOSE,TĐ Nhựa Đông Á,150.0,1353.0,Hóa chất,Chemicals,2001.0,244.0,6605.0,0.004,http://www.dag.com.vn,3.2,-0.028,-0.053,-0.422,59.6,59.6,CT,DAG,,,,
UPCOM,Cao su Đắk Lắk,150.0,1353.0,Hóa chất,Chemicals,2010.0,2221.0,1466.0,0.0,http://www.dakruco.com,3.4,-0.017,-0.015,-0.27,155.8,1.7,CT,DRG,,,,
UPCOM,Đầu tư Cao su Đắk Lắk,150.0,1353.0,Hóa chất,Chemicals,2012.0,2396.0,1950.0,0.001,http://www.dri.com.vn,3.9,-0.003,-0.069,-0.3,73.2,73.2,CT,DRI,,,,
UPCOM,Đạm Hà Bắc,151.0,1357.0,Hóa chất,Chemicals,2006.0,1238.0,1335.0,0.0,http://www.damhabac.com.vn,4.0,0.022,-0.133,0.048,272.2,272.2,CT,DHB,,,,
HOSE,Đạm Cà Mau,151.0,1357.0,Hóa chất,Chemicals,2011.0,918.0,21094.0,0.111,http://www.pvcfc.com.vn,4.7,-0.029,-0.028,-0.144,529.4,529.4,CT,DCM,,,,
UPCOM,DAP - Vinachem,151.0,1357.0,Hóa chất,Chemicals,2008.0,677.0,749.0,0.0,http://www.dap-vinachem.com.vn,4.3,-0.017,-0.018,-0.416,146.1,146.1,CT,DDV,,,,
HOSE,Hóa chất Đức Giang,151.0,1357.0,Hóa chất,Chemicals,2004.0,2305.0,944.0,0.16,http://ducgiangchem.vn,4.6,-0.003,-0.004,-0.212,379.8,379.8,CT,DGC,,,,
UPCOM,Vật tư nông nghiệp Đồng Nai,151.0,1357.0,Hóa chất,Chemicals,2010.0,37.0,100.0,0.0,http://docam.vn,3.7,-0.017,-0.042,0.435,10.0,10.0,CT,DOC,,,,
HOSE,Đạm Phú Mỹ,151.0,1357.0,Hóa chất,Chemicals,2004.0,1529.0,15217.0,0.185,http://www.dpm.vn,4.8,-0.029,-0.087,-0.13,391.3,391.4,CT,DPM,,,,
HOSE,Cao su Đồng Phú,150.0,1353.0,Hóa chất,Chemicals,2004.0,4157.0,3907.0,0.025,http://www.doruco.com.vn,4.2,-0.007,-0.06,-0.083,43.4,43.0,CT,DPR,,,,
HOSE,Kỹ nghệ Đô Thành,150.0,1353.0,Hóa chất,Chemicals,1994.0,206.0,753.0,0.002,http://www.dothanhtech.com,4.1,-0.017,-0.046,0.022,8.2,8.2,CT,DTT,,,,
UPCOM,Thể thao Ngôi sao Geru,150.0,1353.0,Hóa chất,Chemicals,2006.0,130.0,101.0,0.0,http://www.gerusport.com.vn,3.9,-0.03,0.158,-0.11,2.2,2.2,CT,GER,,,,
HOSE,Nông Dược HAI,151.0,1357.0,Hóa chất,Chemicals,2005.0,187.0,8365.0,0.012,http://www.congtyhai.com,3.4,-0.017,-0.042,-0.425,182.7,182.7,CT,HAI,,,,
UPCOM,Hanel Xốp Nhựa,150.0,1353.0,Hóa chất,Chemicals,1994.0,380.0,293.0,0.027,https://hanelplastics.com.vn/,3.5,0.026,0.0,0.234,5.0,5.0,CT,HNP,,,,
HOSE,SX và Thương mại HCD,150.0,1353.0,Hóa chất,Chemicals,2011.0,21.0,1050.0,0.001,http://www.hcdgroup.com.vn,3.9,-0.036,-0.209,-0.274,31.6,31.6,CT,HCD,,,,
UPCOM,Hóa Chất Hưng Phát Hà Bắc,151.0,1357.0,Hóa chất,Chemicals,2008.0,61.0,0.0,0.0,http://www.hungphathabac.com.vn,3.3,-0.011,0.275,0.4,8.4,8.4,CT,HPH,,,,
HOSE,Cao su Hòa Bình,150.0,1353.0,Hóa chất,Chemicals,2004.0,608.0,681.0,0.006,http://www.horuco.com.vn,3.0,-0.069,-0.159,0.291,30.2,30.2,CT,HRC,,,,
UPCOM,Phân bón Hóa sinh,151.0,1357.0,Hóa chất,Chemicals,2003.0,150.0,767.0,0.037,http://www.hsi.com.vn,3.4,-0.017,-0.292,-0.45,9.9,10.0,CT,HSI,,,,
HNX,Hóa chất Việt trì,151.0,1357.0,Hóa chất,Chemicals,2006.0,325.0,0.0,0.021,http://vitrichem.vn/,4.3,0.008,-0.068,0.072,11.0,11.0,CT,HVT,,,,
UPCOM,Cao su Công nghiệp,150.0,1353.0,Hóa chất,Chemicals,2005.0,186.0,0.0,0.0,http://www.donarubber.com.vn,4.0,-0.017,-0.042,0.286,17.5,17.5,CT,IRC,,,,
HNX,Hóa chất Lâm Thao,151.0,1357.0,Hóa chất,Chemicals,2009.0,2000.0,7816.0,0.0,https://supelamthao.vn/,3.8,-0.017,-0.03,-0.271,112.9,112.9,CT,LAS,,,,
UPCOM,Lệ Ninh - Quảng Bình,150.0,1353.0,Hóa chất,Chemicals,2010.0,422.0,547.0,0.0,http://www.leninh.vn,2.9,-0.017,-0.042,0.286,8.2,8.2,CT,LNC,,,,
UPCOM,Thuốc thú y trung ương Navetco,151.0,1357.0,Hóa chất,Chemicals,2005.0,312.0,507.0,0.001,http://www.navetco.com.vn,3.5,-0.173,-0.178,-0.109,16.0,16.0,CT,VET,,,,
HNX,Phân lân Ninh Bình,151.0,1357.0,Hóa chất,Chemicals,1977.0,253.0,265.0,0.0,http://www.niferco.com.vn,4.0,-0.017,-0.065,0.152,15.7,15.7,CT,NFC,,,,
HOSE,Nhựa Hà Nội,150.0,1353.0,Hóa chất,Chemicals,2008.0,1513.0,2799.0,0.005,http://www.hanoiplastics.com.vn,4.0,-0.01,-0.057,-0.133,72.9,72.9,CT,NHH,,,,
