exchange,shortName,industryID,industryIDv2,industry,industryEn,establishedYear,noEmployees,noShareholders,foreignPercent,website,stockRating,deltaInWeek,deltaInMonth,deltaInYear,outstandingShare,issueShare,companyType,ticker,status,code,message,traceId
HOSE,Quỹ Đầu tư Tăng trưởng Thiên Việt 3,302.0,8985.0,Dịch vụ tài chính,Financial Services,2019.0,0.0,0.0,0.0,https://www.tvam.vn/vi,5.0,-0.017,-0.042,0.686,19.9,19.9,QU,FUCTVGF3,,,,
HOSE,ETF IPAAM VN100,302.0,8985.0,Dịch vụ tài chính,Financial Services,2019.0,0.0,0.0,0.009,https://ipaam.com.vn/vi/home,5.0,0.01,0.021,-0.027,5.7,5.7,QU,FUEIP100,,,,
HOSE,KIM GROWTH VN30 ETF,302.0,8985.0,Dịch vụ tài chính,Financial Services,2021.0,0.0,0.0,0.832,https://koreainvestment.com.vn/en/home,5.0,0.014,0.029,0.006,44.0,44.0,QU,FUEKIV30,,,,
HOSE,Quỹ Đầu tư Tăng trưởng Thiên Việt 4,302.0,8985.0,Dịch vụ tài chính,Financial Services,2022.0,0.0,0.0,0.0,https://www.tvam.vn/vi,5.0,-0.017,-0.042,,20.1,20.1,QU,FUCTVGF4,,,,
HOSE,Quỹ ETF DCVFMVNMIDCAP,302.0,8985.0,Dịch vụ tài chính,Financial Services,2022.0,0.0,0.0,0.9,https://dragoncapital.com.vn,5.0,-0.007,-0.021,,9.4,9.4,QU,FUEDCMID,,,,
HOSE,Agriseco,300.0,8777.0,Dịch vụ tài chính,Financial Services,2000.0,137.0,3968.0,0.003,https://www.agriseco.com.vn/,3.7,0.128,0.177,-0.235,215.4,215.4,CK,AGR,,,,
HOSE,Chứng khoán APG,300.0,8777.0,Dịch vụ tài chính,Financial Services,2007.0,31.0,11264.0,0.01,http://www.apsi.vn,3.9,-0.026,0.053,-0.295,146.3,146.3,CK,APG,,,,
HNX,CK Châu Á - TBD,300.0,8777.0,Dịch vụ tài chính,Financial Services,2006.0,45.0,1837.0,0.013,https://apec.com.vn/,3.9,0.025,0.107,-0.387,83.0,83.0,CK,APS,,,,
HOSE,Bamboo Capital,299.0,8775.0,Dịch vụ tài chính,Financial Services,2011.0,42.0,27151.0,0.019,http://www.bamboocap.com.vn,3.7,-0.015,-0.025,-0.436,533.5,533.5,CT,BCG,,,,
UPCOM,Chứng khoán Bảo Minh,300.0,8777.0,Dịch vụ tài chính,Financial Services,2008.0,35.0,1061.0,0.0,http://www.bmsc.com.vn,3.8,0.002,0.083,-0.409,61.0,61.0,CK,BMS,,,,
HOSE,Chứng khoán BIDV,300.0,8777.0,Dịch vụ tài chính,Financial Services,2000.0,270.0,6148.0,0.374,http://www.bsc.com.vn,3.7,0.255,0.327,-0.089,187.3,187.8,CK,BSI,,,,
HNX,Chứng khoán Bảo Việt,300.0,8777.0,Dịch vụ tài chính,Financial Services,1999.0,673.0,4227.0,0.076,http://www.bvsc.com.vn,3.8,0.106,0.081,-0.181,72.2,72.2,CK,BVS,,,,
UPCOM,Tài chính Cổ phần Tín Việt,297.0,8771.0,Dịch vụ tài chính,Financial Services,2008.0,2221.0,135.0,0.002,https://www.vietcredit.com.vn,3.1,0.008,0.252,-0.232,70.1,70.1,NH,TIN,,,,
HOSE,Chứng khoán Vietinbank,300.0,8777.0,Dịch vụ tài chính,Financial Services,2000.0,175.0,4031.0,0.018,http://www.cts.vn,3.4,0.107,0.33,-0.073,148.7,148.7,CK,CTS,,,,
UPCOM,Chứng khoán DSC,300.0,8777.0,Dịch vụ tài chính,Financial Services,2006.0,152.0,167.0,0.0,https://www.dsc.com.vn,3.5,-0.012,0.162,0.433,100.0,100.0,CK,DSC,,,,
HOSE,Quỹ ETF SSIAM VNX50,302.0,8985.0,Dịch vụ tài chính,Financial Services,2014.0,0.0,0.0,0.571,http://www.ssi.com.vn/AssetManagement.aspx,5.0,-0.013,-0.035,-0.007,8.8,8.8,QU,FUESSV50,,,,
HOSE,Quỹ ETF DCVFMVN30,302.0,8985.0,Dịch vụ tài chính,Financial Services,2014.0,0.0,0.0,0.925,https://dragoncapital.com.vn,5.0,0.007,0.026,0.017,460.4,460.4,QU,E1VFVN30,,,,
HOSE,Quỹ ETF SSIAM VNFIN LEAD,302.0,8985.0,Dịch vụ tài chính,Financial Services,2019.0,0.0,0.0,0.975,http://www.ssi.eom.vn/ssiam/san-pham-va-dich-vu-ssiam,5.0,0.029,0.061,0.023,240.8,240.8,QU,FUESSVFL,,,,
HOSE,Tài chính Điện lực,298.0,8773.0,Dịch vụ tài chính,Financial Services,2008.0,487.0,58137.0,0.001,http://www.evnfc.vn,3.6,-0.021,-0.103,-0.252,351.1,351.1,NH,EVF,,,,
HOSE,Tập đoàn F.I.T,299.0,8775.0,Dịch vụ tài chính,Financial Services,2007.0,2122.0,8731.0,0.0,http://www.fitgroup.com.vn,3.5,-0.02,-0.052,-0.388,339.9,339.9,CT,FIT,,,,
HNX,Chứng khoán BOS,300.0,8777.0,Dịch vụ tài chính,Financial Services,2008.0,28.0,14425.0,0.007,http://www.artexsc.com.vn,3.9,-0.017,-0.042,-0.567,96.9,96.9,CK,ART,,,,
HOSE,Chứng khoán FPT,300.0,8777.0,Dịch vụ tài chính,Financial Services,2007.0,453.0,2199.0,0.252,http://www.fpts.com.vn,3.9,0.163,0.418,-0.137,195.1,195.1,CK,FTS,,,,
HOSE,Quỹ ETF MAFM VN30,302.0,8985.0,Dịch vụ tài chính,Financial Services,2020.0,0.0,0.0,0.832,http://www.fundmanagement-miraeasset.com.vn,5.0,0.003,0.022,0.007,27.6,27.6,QU,FUEMAV30,,,,
HOSE,Quỹ ETF SSIAM VN30,302.0,8985.0,Dịch vụ tài chính,Financial Services,2020.0,0.0,0.0,0.324,http://www.ssi.com.vn/ssiam/thong-tin-chung-ssiam-vn30,5.0,0.002,0.02,0.004,6.7,6.7,QU,FUESSV30,,,,
HOSE,Quỹ ETF DCVFMVN DIAMOND,302.0,8985.0,Dịch vụ tài chính,Financial Services,2020.0,0.0,0.0,0.968,https://dragoncapital.com.vn,5.0,0.003,-0.015,0.045,823.3,823.3,QU,FUEVFVND,,,,
HOSE,Quỹ ETF VINACAPITAL VN100,302.0,8985.0,Dịch vụ tài chính,Financial Services,2019.0,0.0,0.0,0.18,http://www.vinacapital.com,5.0,0.006,0.01,-0.033,18.5,18.5,QU,FUEVN100,,,,
UPCOM,Chứng khoán SmartInvest,300.0,8777.0,Dịch vụ tài chính,Financial Services,2006.0,43.0,5447.0,0.013,http://www.sisi.com.vn,4.0,0.025,-0.042,-0.394,80.0,80.0,CK,AAS,,,,
HNX,Chứng khoán Hòa Bình,300.0,8777.0,Dịch vụ tài chính,Financial Services,2008.0,39.0,0.0,0.001,http://www.hbse.com.vn,4.0,-0.017,-0.08,-0.282,33.0,33.0,CK,HBS,,,,
HOSE,Chứng khoán HSC,300.0,8777.0,Dịch vụ tài chính,Financial Services,2003.0,637.0,29835.0,0.47,http://www.hsc.com.vn,3.7,0.024,0.078,0.045,457.2,458.1,CK,HCM,,,,
UPCOM,Chứng khoán Hải Phòng,300.0,8777.0,Dịch vụ tài chính,Financial Services,2015.0,52.0,0.0,0.006,http://www.haseco.vn,3.9,-0.103,0.219,-0.28,29.2,29.2,CK,HAC,,,,
HOSE,Đầu tư APAX Holdings,299.0,8775.0,Dịch vụ tài chính,Financial Services,2012.0,10.0,590.0,0.005,http://www.apaxholdings.com.vn,3.4,-0.013,0.014,-0.575,83.2,83.2,CT,IBC,,,,
