exchange,shortName,industryID,industryIDv2,industry,industryEn,establishedYear,noEmployees,noShareholders,foreignPercent,website,stockRating,deltaInWeek,deltaInMonth,deltaInYear,outstandingShare,issueShare,companyType,ticker,status,code,message,traceId
UPCOM,Tập đoàn Green+,238.0,4577.0,Y tế,Health Care,2016.0,42.0,184.0,0.0,https://greenplus.group,3.7,0.013,-0.192,,41.6,41.6,CT,GPC,,,,
UPCOM,Dược phẩm AGIMEXPHARM,238.0,4577.0,Y tế,Health Care,1981.0,364.0,627.0,0.0,http://www.agimexpharm.com,3.7,-0.013,0.086,0.628,18.0,18.0,CT,AGP,,,,
UPCOM,Armephaco,238.0,4577.0,Y tế,Health Care,2010.0,266.0,186.0,0.0,http://www.armephaco.com.vn,3.3,-0.283,-0.309,-0.229,13.0,13.0,CT,AMP,,,,
HNX,Dược-TB Y tế Việt Mỹ,235.0,4535.0,Y tế,Health Care,2002.0,13.0,341.0,0.005,http://amvibiotech.com,4.1,-0.017,-0.238,-0.457,131.1,131.1,CT,AMV,,,,
HOSE,Chiếu xạ An Phú,237.0,4573.0,Y tế,Health Care,2003.0,215.0,1467.0,0.152,http://www.apic.com.vn,3.6,0.023,-0.083,-0.222,19.9,20.1,CT,APC,,,,
UPCOM,Dược Enlie,238.0,4577.0,Y tế,Health Care,2005.0,291.0,510.0,0.003,http://www.becamexpharma.vn,3.4,0.048,0.108,0.371,6.0,6.0,CT,BCP,,,,
HOSE,Dược - TB Y tế Bình Định,238.0,4577.0,Y tế,Health Care,2010.0,1191.0,1841.0,0.09,http://www.bidiphar.com,3.8,-0.02,-0.081,0.159,74.8,74.9,CT,DBD,,,,
UPCOM,Vắc xin và Sinh phẩm Nha Trang,238.0,4577.0,Y tế,Health Care,2011.0,59.0,547.0,0.001,https://biopharco2.com.vn/,3.2,-0.017,0.108,-0.27,8.6,8.6,CT,BIO,,,,
HOSE,Bệnh viện Quốc tế Thái Nguyên,234.0,4533.0,Y tế,Health Care,2012.0,748.0,3731.0,0.425,http://www.benhvienquoctethainguyen.com,3.7,-0.014,-0.064,-0.08,51.9,51.9,CT,TNH,,,,
UPCOM,Dược TW3,238.0,4577.0,Y tế,Health Care,2010.0,156.0,143.0,0.0,http://www.duoctw3.com,3.4,-0.017,-0.019,-0.012,1.7,1.8,CT,TW3,,,,
UPCOM,Công nghệ cao Traphaco,238.0,4577.0,Y tế,Health Care,2006.0,322.0,526.0,0.018,http://www.traphacocnc.com.vn,4.0,-0.003,-0.095,0.282,11.4,11.4,CT,CNC,,,,
UPCOM,Dược phẩm TW Codupha,238.0,4577.0,Y tế,Health Care,2010.0,465.0,903.0,0.0,http://www.codupha.com.vn,3.3,0.009,-0.017,0.125,18.2,18.3,CT,CDP,,,,
UPCOM,Dược phẩm Trung ương CPC1,238.0,4577.0,Y tế,Health Care,2010.0,331.0,501.0,0.0,http://www.cpc1.com.vn,3.6,-0.072,-0.029,0.185,21.0,21.0,CT,DP1,,,,
UPCOM,Dược phẩm CPC1 Hà Nội,238.0,4577.0,Y tế,Health Care,2009.0,944.0,109.0,0.0,http://www.cpc1hn.com.vn,3.9,-0.174,-0.209,0.326,16.2,16.2,CT,DTP,,,,
HNX,Vinam Group,235.0,4535.0,Y tế,Health Care,2007.0,56.0,2593.0,0.0,http://vinamgroup.com.vn/,4.3,-0.017,-0.178,-0.423,29.7,29.7,CT,CVN,,,,
UPCOM,Dược Danapha,238.0,4577.0,Y tế,Health Care,2007.0,386.0,189.0,0.0,http://www.danapha.com,3.9,0.031,-0.246,0.087,20.9,21.1,CT,DAN,,,,
UPCOM,BAMEPHARM,238.0,4577.0,Y tế,Health Care,1976.0,156.0,254.0,0.23,http://www.bamepharm.com.vn,3.7,-0.017,0.027,0.299,1.9,1.9,CT,DBM,,,,
HOSE,Dược phẩm Bến Tre,238.0,4577.0,Y tế,Health Care,2004.0,556.0,2153.0,0.027,http://www.bepharco.com,3.5,-0.022,-0.079,0.166,15.6,15.6,CT,DBT,,,,
HOSE,Dược phẩm Cửu Long,238.0,4577.0,Y tế,Health Care,2004.0,959.0,2216.0,0.013,http://dcl.com.vn,3.6,-0.067,-0.141,-0.049,73.0,73.0,CT,DCL,,,,
UPCOM,Dược - TB Y tế Đà Nẵng,238.0,4577.0,Y tế,Health Care,1984.0,229.0,1226.0,0.003,http://www.dapharco.com.vn,3.7,-0.038,-0.163,-0.124,15.3,15.3,CT,DDN,,,,
HOSE,Dược Hậu Giang,238.0,4577.0,Y tế,Health Care,2004.0,2678.0,3660.0,0.543,http://www.dhgpharma.com.vn,4.0,-0.03,-0.081,0.148,130.7,130.7,CT,DHG,,,,
HOSE,Dược phẩm DOMESCO,238.0,4577.0,Y tế,Health Care,2004.0,1109.0,0.0,0.554,http://www.domesco.com,3.8,-0.059,-0.102,0.067,34.7,34.7,CT,DMC,,,,
HNX,Y tế Danameco,236.0,4537.0,Y tế,Health Care,1976.0,693.0,394.0,0.036,http://www.danameco.com,3.3,-0.121,-0.147,-0.383,5.3,5.3,CT,DNM,,,,
UPCOM,Dược Đồng Nai,238.0,4577.0,Y tế,Health Care,1996.0,90.0,141.0,0.001,http://www.donaipharm.com.vn,3.8,-0.017,-0.042,0.211,3.0,3.0,CT,DPP,,,,
UPCOM,Dược phẩm TW 2,238.0,4577.0,Y tế,Health Care,2005.0,196.0,379.0,0.0,http://www.dopharma.vn,3.4,-0.017,0.019,0.018,20.0,20.0,CT,DP2,,,,
HNX,Dược Phẩm TW3,238.0,4577.0,Y tế,Health Care,2003.0,303.0,306.0,0.011,http://www.duocphamtw3.com,4.3,-0.081,-0.123,0.244,8.6,8.6,CT,DP3,,,,
