exchange,shortName,industryID,industryIDv2,industry,industryEn,establishedYear,noEmployees,noShareholders,foreignPercent,website,stockRating,deltaInWeek,deltaInMonth,deltaInYear,outstandingShare,issueShare,companyType,ticker,status,code,message,traceId
UPCOM,Tập đoàn Truyền thông và Giải trí ODE,254.0,5553.0,Truyền thông,Media,2016.0,0.0,126.0,0.0,https://ode.vn,3.3,0.003,0.001,0.097,10.0,10.0,CT,ODE,,,,
HNX,Mĩ thuật và Truyền thông,256.0,5557.0,Truyền thông,Media,2006.0,354.0,208.0,0.086,http://adc.net.vn/,4.1,-0.056,-0.072,0.003,4.0,4.0,CT,ADC,,,,
HNX,Văn hóa Tân Bình,256.0,5557.0,Truyền thông,Media,1989.0,263.0,477.0,0.032,http://www.alta.com.vn,4.3,0.032,-0.008,0.018,5.7,6.2,CT,ALT,,,,
HNX,Sách Bình Định,256.0,5557.0,Truyền thông,Media,2007.0,29.0,115.0,0.0,http://www.sachthietbibinhdinh.com.vn,3.7,-0.017,-0.234,0.145,1.1,1.1,CT,BDB,,,,
HNX,Sách Đà Nẵng,256.0,5557.0,Truyền thông,Media,2009.0,89.0,267.0,0.0,http://www.danangbook.com,3.4,-0.017,-0.042,0.192,3.0,3.0,CT,BED,,,,
HNX,Sách và Thiết bị Bình Thuận,256.0,5557.0,Truyền thông,Media,2004.0,35.0,119.0,0.003,http://www.stbbt.com.vn,4.3,0.276,0.251,0.44,1.1,1.1,CT,BST,,,,
HOSE,Clever Group,255.0,5555.0,Truyền thông,Media,2008.0,261.0,761.0,0.466,https://clevergroup.vn,3.8,0.066,0.365,0.084,21.4,21.4,CT,ADG,,,,
HNX,Phát triển GD Đà Nẵng,256.0,5557.0,Truyền thông,Media,2007.0,52.0,197.0,0.323,http://www.nxbgddn.vn/,4.2,-0.045,-0.037,0.06,4.7,5.0,CT,DAD,,,,
HNX,Sách Giáo dục Đà Nẵng,256.0,5557.0,Truyền thông,Media,2004.0,20.0,295.0,0.01,http://www.sachgiaoduc.com,4.0,-0.115,-0.14,0.108,1.5,1.5,CT,DAE,,,,
HNX,Đầu tư Sao Thăng Long,256.0,5557.0,Truyền thông,Media,2005.0,6.0,2480.0,0.001,http://www.saothanglong.vn,4.0,-0.041,-0.067,-0.433,32.2,32.3,CT,DST,,,,
HNX,Sách Giáo dục Hà Nội,256.0,5557.0,Truyền thông,Media,2004.0,88.0,812.0,0.083,http://www.sachgiaoduchanoi.vn,4.0,-0.067,-0.002,0.254,10.0,10.2,CT,EBS,,,,
HNX,Bản đồ và tranh ảnh GD,256.0,5557.0,Truyền thông,Media,2007.0,40.0,98.0,0.048,http://www.bandotranhanh.vn,3.9,-0.017,-0.042,0.372,1.8,1.9,CT,ECI,,,,
HNX,Phát triển GD Hà Nội,256.0,5557.0,Truyền thông,Media,2007.0,135.0,1457.0,0.219,http://www.heid.vn,4.3,-0.027,-0.114,0.194,15.0,15.0,CT,EID,,,,
UPCOM,Phát hành sách TP HCM - FAHASA,256.0,5557.0,Truyền thông,Media,1976.0,2200.0,525.0,0.0,http://www.fahasasg.com.vn,3.8,0.013,-0.052,0.436,12.8,12.8,CT,FHS,,,,
UPCOM,FPT Online,255.0,5555.0,Truyền thông,Media,2007.0,321.0,110.0,0.042,http://www.fptonline.net,4.0,-0.017,-0.049,0.083,18.4,18.5,CT,FOC,,,,
HNX,Sách Đại học - Dạy nghề,256.0,5557.0,Truyền thông,Media,2004.0,27.0,104.0,0.023,http://www.hevobco.com.vn,3.6,-0.017,-0.043,0.109,1.0,1.0,CT,HEV,,,,
