exchange,shortName,industryID,industryIDv2,industry,industryEn,establishedYear,noEmployees,noShareholders,foreignPercent,website,stockRating,deltaInWeek,deltaInMonth,deltaInYear,outstandingShare,issueShare,companyType,ticker,status,code,message,traceId
HNX,CokyVina,314.0,9578.0,Công nghệ Thông tin,Technology,2005.0,2218.0,372.0,0.002,http://www.cokyvina.com.vn,3.9,0.189,-0.17,-0.182,4.0,4.1,CT,CKV,,,,
HOSE,Tập đoàn Công nghệ CMC,308.0,9533.0,Công nghệ Thông tin,Technology,2009.0,2365.0,1130.0,0.427,http://www.cmc.com.vn,3.5,-0.033,-0.042,0.184,150.6,150.6,CT,CMG,,,,
UPCOM,CN mạng và Truyền thông,310.0,9537.0,Công nghệ Thông tin,Technology,2003.0,61.0,0.0,0.034,http://www.infonet.com.vn,3.9,-0.009,-0.042,-0.253,7.3,8.0,CT,CMT,,,,
HOSE,Viễn thông - Tin học Bưu điện,310.0,9537.0,Công nghệ Thông tin,Technology,2001.0,484.0,639.0,0.004,http://www.ctin.vn,3.3,-0.013,-0.05,-0.032,32.2,32.2,CT,ICT,,,,
HOSE,ELCOM,314.0,9578.0,Công nghệ Thông tin,Technology,2003.0,223.0,208.0,0.038,http://www.elcom.com.vn,3.6,0.066,0.124,-0.135,58.8,58.8,CT,ELC,,,,
HOSE,FPT Corp,310.0,9537.0,Công nghệ Thông tin,Technology,2002.0,37882.0,48598.0,0.49,https://www.fpt.com.vn,3.6,-0.011,-0.057,0.2,1097.0,1097.0,CT,FPT,,,,
UPCOM,Tập Đoàn HIPT,310.0,9537.0,Công nghệ Thông tin,Technology,1994.0,101.0,911.0,0.002,http://www.hipt.com.vn,3.7,-0.017,-0.028,-0.08,22.6,22.6,CT,HIG,,,,
UPCOM,DV Công nghệ Tin học HPT,310.0,9537.0,Công nghệ Thông tin,Technology,1995.0,329.0,546.0,0.036,http://www.hpt.vn,3.4,-0.198,-0.109,0.204,8.9,9.1,CT,HPT,,,,
HOSE,Công nghệ Tiên Phong,311.0,9572.0,Công nghệ Thông tin,Technology,1994.0,301.0,0.0,0.015,http://www.itd.com.vn,3.9,-0.044,-0.145,-0.038,24.5,21.3,CT,ITD,,,,
HNX,KASATI,314.0,9578.0,Công nghệ Thông tin,Technology,2009.0,93.0,0.0,0.007,http://www.kasati.com.vn,3.8,-0.017,-0.109,0.087,6.0,6.0,CT,KST,,,,
