exchange,shortName,industryID,industryIDv2,industry,industryEn,establishedYear,noEmployees,noShareholders,foreignPercent,website,stockRating,deltaInWeek,deltaInMonth,deltaInYear,outstandingShare,issueShare,companyType,ticker,status,code,message,traceId
UPCOM,DHC Suối Đôi,260.0,5755.0,Du lịch và Giải trí,Travel & Leisure,2014.0,0.0,307.0,0.0,https://dhcsuoidoi.vn,3.0,-0.017,-0.191,,31.1,31.1,CT,DSD,,,,
HNX,"ATESCO.,JSC",261.0,5757.0,Du lịch và Giải trí,Travel & Leisure,1998.0,103.0,109.0,0.0,http://www.atesco.vn,3.7,-0.025,-0.12,-0.197,3.5,3.5,CT,ATS,,,,
UPCOM,Du lịch và Thương mại Bằng Giang Cao Bằng - Vimico,259.0,5753.0,Du lịch và Giải trí,Travel & Leisure,2008.0,26.0,104.0,0.0,http://www.ksbanggiangcaobang.com.vn,3.3,-0.017,-0.042,0.286,1.8,1.8,CT,BCV,,,,
UPCOM,Du lịch tỉnh BR-VT,262.0,5759.0,Du lịch và Giải trí,Travel & Leisure,2007.0,272.0,183.0,0.0,http://www.vungtautourist.com.vn,3.6,-0.017,-0.065,0.452,18.6,18.6,CT,VTG,,,,
UPCOM,DV Du lịch Bến Thành,262.0,5759.0,Du lịch và Giải trí,Travel & Leisure,2005.0,250.0,188.0,0.0,https://benthanhtourist.com,3.6,-0.017,-0.354,-0.305,25.0,25.0,CT,BTV,,,,
UPCOM,Xe buýt Liên Ninh,262.0,5759.0,Du lịch và Giải trí,Travel & Leisure,2015.0,468.0,375.0,0.001,https://lienninh.com.vn,3.3,0.094,0.364,0.345,5.0,5.0,CT,BLN,,,,
HNX,Tập đoàn Hoàng Kim Tây Nguyên,262.0,5759.0,Du lịch và Giải trí,Travel & Leisure,2004.0,165.0,411.0,0.008,http://gialaitourist.com.vn,3.4,-0.017,-0.042,-0.546,15.8,15.8,CT,CTC,,,,
HOSE,Tập đoàn Khách sạn Đông Á,259.0,5753.0,Du lịch và Giải trí,Travel & Leisure,2003.0,12.0,327.0,0.001,https://www.mayplazahotel.com,3.6,-0.024,-0.035,-0.388,84.2,84.2,CT,DAH,,,,
UPCOM,Du lịch Đắk Lắk,259.0,5753.0,Du lịch và Giải trí,Travel & Leisure,2005.0,208.0,121.0,0.0,http://www.daklaktourist.com.vn,3.1,-0.017,-0.042,-0.159,9.3,9.3,CT,DLD,,,,
UPCOM,Du lịch Đồng Nai,260.0,5755.0,Du lịch và Giải trí,Travel & Leisure,2016.0,189.0,0.0,0.0,http://www.dulichdongnai.com.vn,3.5,-0.017,-0.042,4.563,7.3,7.5,CT,DNT,,,,
HOSE,Công viên nước Đầm Sen,260.0,5755.0,Du lịch và Giải trí,Travel & Leisure,2003.0,153.0,339.0,0.231,http://www.damsenwaterpark.com.vn,4.1,-0.002,0.042,0.518,12.1,12.1,CT,DSN,,,,
UPCOM,Đầu tư Đức Trung,259.0,5753.0,Du lịch và Giải trí,Travel & Leisure,1994.0,19.0,152.0,0.0,http://www.ductrung.vn,4.0,0.124,0.063,0.081,12.1,12.1,CT,DTI,,,,
UPCOM,Du lịch và Xuất nhập khẩu Lạng Sơn,259.0,5753.0,Du lịch và Giải trí,Travel & Leisure,2006.0,50.0,84.0,0.019,http://tocolimexlangson.com,4.0,-0.224,-0.573,-0.569,4.0,4.0,CT,DXL,,,,
UPCOM,Thuận Thảo Group,260.0,5755.0,Du lịch và Giải trí,Travel & Leisure,1985.0,232.0,1849.0,0.001,http://www.thuanthao.com.vn,3.7,-0.017,-0.209,-0.402,43.5,43.5,CT,GTT,,,,
UPCOM,Dịch vụ Giải trí Hà Nội,260.0,5755.0,Du lịch và Giải trí,Travel & Leisure,1999.0,259.0,409.0,0.0,http://www.congvienhotay.vn,4.1,-0.017,-0.042,0.759,9.3,9.3,CT,HES,,,,
UPCOM,Du lịch Hương Giang,262.0,5759.0,Du lịch và Giải trí,Travel & Leisure,2007.0,133.0,204.0,0.49,https://www.huonggiangtourist.com,3.5,-0.017,-0.042,0.256,20.0,20.0,CT,HGT,,,,
HNX,Vận tải Hoàng Hà,262.0,5759.0,Du lịch và Giải trí,Travel & Leisure,2001.0,371.0,246.0,0.004,http://www.hoanghaco.com.vn,3.6,0.074,-0.185,-0.552,34.9,34.9,CT,HHG,,,,
UPCOM,Vận tải đường sắt Hà Nội,262.0,5759.0,Du lịch và Giải trí,Travel & Leisure,2003.0,3622.0,4090.0,0.0,http://www.vantaiduongsathanoi.vn,3.4,-0.06,-0.042,-0.225,80.1,80.1,CT,HRT,,,,
UPCOM,Hanoi Toserco,262.0,5759.0,Du lịch và Giải trí,Travel & Leisure,2005.0,86.0,190.0,0.0,http://www.tosercohanoi.com,3.5,0.059,0.574,1.698,74.8,74.8,CT,TSJ,,,,
HOSE,Du lịch - DV Hội An,262.0,5759.0,Du lịch và Giải trí,Travel & Leisure,2006.0,122.0,216.0,0.0,http://www.hoiantourist.com,3.4,-0.069,-0.136,-0.127,8.0,8.0,CT,HOT,,,,
