,Open,High,Low,Close,Volume,TradingDate
0,2152.0,2152.0,235.0,1487.0,15300,2010-12-24
1,1409.0,1409.0,1396.0,1396.0,3200,2010-12-27
2,1370.0,1396.0,1370.0,1383.0,2400,2010-12-28
3,1383.0,1383.0,1304.0,1317.0,4200,2010-12-29
4,1304.0,1370.0,1304.0,1317.0,700,2010-12-30
5,1357.0,1357.0,1252.0,1317.0,1000,2010-12-31
6,1304.0,1304.0,1304.0,1304.0,2800,2011-01-04
7,1304.0,1304.0,1304.0,1304.0,1800,2011-01-05
8,1304.0,1304.0,1291.0,1304.0,1400,2011-01-06
9,1370.0,1396.0,1370.0,1383.0,3100,2011-01-07
10,1474.0,1474.0,1396.0,1474.0,15900,2011-01-10
11,1552.0,1552.0,1383.0,1409.0,1600,2011-01-11
12,1422.0,1422.0,1422.0,1422.0,100,2011-01-12
13,1422.0,1422.0,1344.0,1370.0,4300,2011-01-13
14,1357.0,1461.0,1344.0,1383.0,8000,2011-01-14
15,1396.0,1422.0,1396.0,1409.0,200,2011-01-17
16,1435.0,1461.0,1396.0,1422.0,3000,2011-01-18
17,1435.0,1448.0,1370.0,1396.0,15700,2011-01-19
18,1461.0,1461.0,1370.0,1383.0,2600,2011-01-20
19,1370.0,1435.0,1370.0,1409.0,200,2011-01-21
20,1500.0,1500.0,1500.0,1500.0,17400,2011-01-24
21,1604.0,1604.0,1565.0,1578.0,17300,2011-01-25
22,1591.0,1591.0,1513.0,1552.0,5800,2011-01-26
23,1552.0,1565.0,1526.0,1552.0,12400,2011-01-27
24,1565.0,1657.0,1539.0,1552.0,19300,2011-01-28
25,1578.0,1604.0,1565.0,1591.0,12700,2011-02-08
26,1562.0,1696.0,1562.0,1636.0,4500,2011-02-09
27,1636.0,1696.0,1636.0,1666.0,2500,2011-02-10
28,1666.0,1666.0,1666.0,1666.0,1000,2011-02-11
29,1666.0,1666.0,1666.0,1666.0,0,2011-02-14
30,1562.0,1577.0,1562.0,1562.0,700,2011-02-15
31,1458.0,1651.0,1458.0,1458.0,4100,2011-02-16
32,1458.0,1458.0,1368.0,1398.0,500,2011-02-17
33,1487.0,1487.0,1487.0,1487.0,100,2011-02-18
34,1487.0,1487.0,1487.0,1487.0,0,2011-02-21
35,1487.0,1487.0,1487.0,1487.0,0,2011-02-22
36,1517.0,1517.0,1517.0,1517.0,100,2011-02-23
37,1517.0,1517.0,1517.0,1517.0,0,2011-02-24
38,1517.0,1517.0,1517.0,1517.0,0,2011-02-25
39,1517.0,1517.0,1517.0,1517.0,0,2011-02-28
40,1517.0,1517.0,1517.0,1517.0,0,2011-03-01
41,1413.0,1413.0,1413.0,1413.0,100,2011-03-02
42,1413.0,1413.0,1413.0,1413.0,0,2011-03-03
43,1413.0,1413.0,1413.0,1413.0,0,2011-03-04
44,1413.0,1413.0,1413.0,1413.0,0,2011-03-07
45,1398.0,1398.0,1398.0,1398.0,100,2011-03-08
46,1398.0,1398.0,1398.0,1398.0,0,2011-03-09
47,1309.0,1398.0,1309.0,1324.0,3200,2011-03-10
48,1234.0,1264.0,1234.0,1234.0,8400,2011-03-11
49,1190.0,1190.0,1160.0,1175.0,3600,2011-03-14
50,1175.0,1175.0,1175.0,1175.0,0,2011-03-15
51,1160.0,1160.0,1160.0,1160.0,2000,2011-03-16
52,1160.0,1160.0,1160.0,1160.0,0,2011-03-17
53,1115.0,1160.0,1115.0,1160.0,5500,2011-03-18
54,1160.0,1160.0,1115.0,1130.0,6600,2011-03-21
55,1130.0,1145.0,1145.0,1130.0,0,2011-03-22
56,1130.0,1130.0,1130.0,1130.0,1300,2011-03-23
57,1130.0,1130.0,1130.0,1130.0,2700,2011-03-24
58,1130.0,1130.0,1130.0,1130.0,0,2011-03-25
59,1130.0,1130.0,1130.0,1130.0,6000,2011-03-28
60,1130.0,1130.0,1130.0,1130.0,2000,2011-03-29
61,1130.0,1130.0,1130.0,1130.0,500,2011-03-30
62,1130.0,1130.0,1130.0,1130.0,500,2011-03-31
63,1190.0,1190.0,1190.0,1190.0,100,2011-04-01
64,1130.0,1130.0,1130.0,1130.0,100,2011-04-04
65,1130.0,1130.0,1130.0,1130.0,0,2011-04-05
66,1071.0,1071.0,1071.0,1071.0,200,2011-04-06
67,1071.0,1071.0,1071.0,1071.0,0,2011-04-07
68,1086.0,1086.0,1086.0,1086.0,300,2011-04-08
69,1086.0,1086.0,1086.0,1086.0,0,2011-04-13
70,1041.0,1041.0,1041.0,1041.0,500,2011-04-14
71,1071.0,1086.0,1071.0,1086.0,1100,2011-04-15
72,1160.0,1160.0,1160.0,1160.0,100,2011-04-18
73,1160.0,1160.0,1160.0,1160.0,0,2011-04-19
74,1130.0,1130.0,1130.0,1130.0,1000,2011-04-20
75,1175.0,1175.0,1175.0,1175.0,100,2011-04-21
76,1115.0,1115.0,1115.0,1115.0,1000,2011-04-22
77,1115.0,1115.0,1115.0,1115.0,0,2011-04-25
78,1175.0,1175.0,1175.0,1175.0,100,2011-04-26
79,1234.0,1234.0,1234.0,1234.0,100,2011-04-27
80,1160.0,1160.0,1160.0,1160.0,2100,2011-04-28
81,1115.0,1115.0,1115.0,1115.0,1500,2011-04-29
82,1041.0,1086.0,1041.0,1071.0,300,2011-05-04
83,997.0,1115.0,997.0,1101.0,600,2011-05-05
84,1101.0,1115.0,1115.0,1101.0,0,2011-05-06
85,1026.0,1026.0,1026.0,1026.0,100,2011-05-09
86,1041.0,1041.0,1041.0,1041.0,300,2011-05-10
87,997.0,997.0,997.0,997.0,100,2011-05-11
88,997.0,997.0,997.0,997.0,0,2011-05-12
89,952.0,952.0,952.0,952.0,100,2011-05-13
90,952.0,952.0,952.0,952.0,0,2011-05-16
91,892.0,952.0,892.0,952.0,2100,2011-05-17
92,967.0,967.0,952.0,952.0,500,2011-05-18
93,892.0,892.0,892.0,892.0,500,2011-05-19
94,952.0,952.0,952.0,952.0,100,2011-05-20
95,1011.0,1011.0,967.0,967.0,2100,2011-05-23
96,967.0,967.0,967.0,967.0,0,2011-05-24
97,967.0,1026.0,967.0,982.0,1900,2011-05-25
98,952.0,1026.0,952.0,997.0,400,2011-05-26
99,1041.0,1056.0,1041.0,1056.0,400,2011-05-27
100,1086.0,1086.0,1011.0,1041.0,900,2011-05-30
101,1041.0,1011.0,1011.0,1041.0,0,2011-05-31
102,1086.0,1086.0,1086.0,1086.0,100,2011-06-01
103,1115.0,1115.0,1115.0,1115.0,100,2011-06-02
104,1041.0,1041.0,1041.0,1041.0,4300,2011-06-03
105,997.0,997.0,982.0,982.0,5000,2011-06-06
106,922.0,922.0,922.0,922.0,100,2011-06-07
107,937.0,982.0,937.0,967.0,3900,2011-06-08
108,1026.0,1026.0,1026.0,1026.0,200,2011-06-09
109,1041.0,1071.0,1041.0,1071.0,1200,2011-06-10
110,1071.0,1086.0,1071.0,1071.0,4000,2011-06-13
111,1041.0,1041.0,997.0,1011.0,1200,2011-06-14
112,1011.0,997.0,997.0,1011.0,0,2011-06-15
113,967.0,967.0,967.0,967.0,2000,2011-06-16
114,967.0,967.0,967.0,967.0,300,2011-06-17
115,1011.0,1011.0,1011.0,1011.0,100,2011-06-20
116,1011.0,1011.0,1011.0,1011.0,0,2011-06-21
117,982.0,982.0,982.0,982.0,100,2011-06-22
118,1026.0,1026.0,922.0,952.0,300,2011-06-23
119,952.0,922.0,922.0,952.0,0,2011-06-24
120,952.0,952.0,952.0,952.0,5000,2011-06-27
121,922.0,922.0,922.0,922.0,200,2011-06-28
122,967.0,967.0,952.0,952.0,4000,2011-06-29
123,952.0,952.0,952.0,952.0,0,2011-06-30
124,952.0,952.0,952.0,952.0,800,2011-07-01
125,952.0,952.0,952.0,952.0,0,2011-07-04
