,Open,High,Low,Close,Volume,TradingDate
0,19673.0,19673.0,19673.0,19700.0,100,2017-01-16
1,22596.0,22596.0,21922.0,22500.0,207498,2017-01-17
2,23608.0,23608.0,22540.0,22900.0,67500,2017-01-18
3,22877.0,22877.0,21922.0,22700.0,19500,2017-01-19
4,21360.0,22484.0,20797.0,21800.0,18305,2017-01-20
5,21865.0,21922.0,20797.0,21600.0,21920,2017-01-23
6,21416.0,21922.0,20854.0,21500.0,39950,2017-01-24
7,22484.0,22484.0,22203.0,22500.0,34000,2017-01-25
8,22484.0,24620.0,22484.0,23200.0,45210,2017-02-02
9,23383.0,24732.0,23383.0,24200.0,9924,2017-02-03
10,23720.0,24620.0,23046.0,23500.0,18316,2017-02-06
11,23102.0,23608.0,23102.0,23300.0,2600,2017-02-07
12,23046.0,23945.0,23046.0,23300.0,15260,2017-02-08
13,23439.0,23439.0,23158.0,23300.0,13700,2017-02-09
14,23046.0,23046.0,21922.0,22200.0,25200,2017-02-10
15,23327.0,23327.0,21922.0,22000.0,12320,2017-02-13
16,21978.0,22034.0,21978.0,22000.0,1500,2017-02-14
17,23046.0,23046.0,21978.0,22100.0,14484,2017-02-15
18,22146.0,22540.0,22146.0,22200.0,6435,2017-02-16
19,22259.0,22315.0,22259.0,22300.0,1200,2017-02-17
20,22282.0,22282.0,22282.0,22300.0,0,2017-02-20
21,21416.0,22203.0,21416.0,21900.0,6400,2017-02-21
22,21641.0,21697.0,21584.0,21600.0,8600,2017-02-22
23,21922.0,21922.0,21697.0,21800.0,9220,2017-02-23
24,21809.0,22034.0,21809.0,21900.0,13820,2017-02-24
25,21922.0,22799.0,21922.0,22300.0,3700,2017-02-27
26,21922.0,22741.0,21922.0,22200.0,8500,2017-02-28
27,20461.0,22215.0,20461.0,22000.0,18120,2017-03-01
28,21806.0,22156.0,21747.0,22000.0,11000,2017-03-02
29,21981.0,22156.0,21981.0,22100.0,31400,2017-03-03
30,22215.0,22215.0,21981.0,22100.0,800,2017-03-06
31,22156.0,22156.0,21922.0,22100.0,3500,2017-03-07
32,21630.0,21630.0,21046.0,21200.0,15100,2017-03-08
33,21046.0,21455.0,21046.0,21300.0,10400,2017-03-09
34,21396.0,21396.0,21396.0,21400.0,11,2017-03-10
35,21396.0,21513.0,21338.0,21400.0,8864,2017-03-13
36,21338.0,21689.0,21221.0,21400.0,33150,2017-03-14
37,21630.0,21922.0,21630.0,21800.0,7030,2017-03-15
38,21922.0,21922.0,21922.0,21900.0,19518,2017-03-16
39,21922.0,21922.0,21864.0,21900.0,1500,2017-03-17
40,21630.0,21922.0,21630.0,21800.0,7670,2017-03-20
41,21864.0,25138.0,18590.0,21800.0,900,2017-03-21
42,22215.0,22215.0,21806.0,21800.0,8600,2017-03-22
43,22156.0,22156.0,21806.0,21900.0,8900,2017-03-23
44,21806.0,21806.0,18649.0,20900.0,12900,2017-03-24
45,22741.0,22741.0,21630.0,21800.0,27200,2017-03-27
46,21806.0,21806.0,21747.0,21800.0,6400,2017-03-28
47,21396.0,21747.0,21396.0,21700.0,13500,2017-03-29
48,22156.0,22156.0,18473.0,21900.0,40800,2017-03-30
49,21806.0,21806.0,21455.0,21700.0,7000,2017-03-31
50,21689.0,21981.0,21630.0,21800.0,18700,2017-04-03
51,21689.0,21981.0,21630.0,21900.0,17172,2017-04-04
52,21864.0,21864.0,21864.0,21900.0,2800,2017-04-05
53,21689.0,21922.0,18707.0,21900.0,23400,2017-04-07
54,21922.0,21922.0,21864.0,21900.0,8150,2017-04-10
55,21922.0,21981.0,21864.0,21900.0,16100,2017-04-11
56,21864.0,21981.0,21864.0,21900.0,25728,2017-04-12
57,22039.0,22039.0,21922.0,22000.0,30420,2017-04-13
58,22098.0,22098.0,21922.0,22000.0,24900,2017-04-14
