,Open,High,Low,Close,Volume,TradingDate
0,31480.0,31480.0,31480.0,31500.0,10100,2022-03-08
1,36157.0,36157.0,36157.0,36200.0,100,2022-03-09
2,41554.0,41554.0,41554.0,41600.0,5009100,2022-03-10
3,47670.0,47760.0,42723.0,43900.0,2999500,2022-03-11
4,43623.0,44792.0,41464.0,43100.0,547200,2022-03-14
5,42723.0,42723.0,37417.0,39000.0,957000,2022-03-15
6,38856.0,44792.0,36067.0,40700.0,587800,2022-03-16
7,38676.0,41014.0,38676.0,40300.0,257300,2022-03-17
8,40295.0,40295.0,38586.0,39200.0,298500,2022-03-18
9,38676.0,38676.0,36877.0,37900.0,305100,2022-03-21
10,37776.0,38316.0,37057.0,37600.0,323700,2022-03-22
11,37776.0,38226.0,37596.0,37800.0,358400,2022-03-23
12,37327.0,39305.0,37327.0,38700.0,253664,2022-03-24
13,38136.0,39575.0,32919.0,38600.0,311236,2022-03-25
14,38676.0,39395.0,38226.0,38800.0,368523,2022-03-28
15,38856.0,39395.0,38676.0,39100.0,258514,2022-03-29
16,39126.0,40115.0,38946.0,39500.0,382200,2022-03-30
17,39575.0,40025.0,38946.0,39600.0,393200,2022-03-31
18,39755.0,40025.0,39126.0,39400.0,268650,2022-04-01
19,39575.0,39665.0,38946.0,39300.0,301800,2022-04-04
20,39215.0,39215.0,38676.0,38800.0,289800,2022-04-05
21,37776.0,38496.0,34179.0,36700.0,547953,2022-04-06
22,36877.0,37686.0,35977.0,36800.0,322400,2022-04-07
23,37507.0,37507.0,34448.0,35800.0,188000,2022-04-08
24,34448.0,35798.0,34448.0,35000.0,119201,2022-04-12
25,35078.0,35078.0,33729.0,34200.0,371700,2022-04-13
26,35258.0,35348.0,34089.0,34300.0,327600,2022-04-14
27,35528.0,35528.0,33729.0,34100.0,163800,2022-04-15
28,34089.0,34808.0,32919.0,33600.0,67802,2022-04-18
29,33729.0,33729.0,29412.0,31300.0,271000,2022-04-19
30,31300.0,31480.0,29771.0,30600.0,48500,2022-04-20
