,Open,High,Low,Close,Volume,TradingDate
0,17815.0,17815.0,17815.0,17815.0,24100,2022-01-13
1,19562.0,19562.0,19562.0,19562.0,401100,2022-01-14
2,21483.0,21483.0,21396.0,21483.0,315200,2022-01-17
3,23579.0,23579.0,19387.0,19387.0,103300,2022-01-18
4,17466.0,17466.0,17466.0,17466.0,17500,2022-01-19
5,15719.0,15719.0,15719.0,15719.0,2900,2022-01-20
6,14147.0,14147.0,14147.0,14147.0,12700,2022-01-21
7,12750.0,12750.0,12750.0,12750.0,7800,2022-01-24
8,11528.0,13885.0,11528.0,13100.0,113000,2022-01-25
9,13100.0,13100.0,11790.0,11964.0,88900,2022-01-26
10,11790.0,11790.0,11004.0,11004.0,33300,2022-01-27
11,11004.0,12052.0,10480.0,12052.0,103000,2022-01-28
12,12139.0,13187.0,12052.0,13187.0,18600,2022-02-07
13,14409.0,14497.0,13100.0,13885.0,100400,2022-02-08
14,13885.0,14409.0,12576.0,14409.0,65300,2022-02-09
15,14846.0,14846.0,13798.0,13798.0,7800,2022-02-10
16,13798.0,14671.0,13187.0,14671.0,39800,2022-02-11
17,13361.0,14322.0,13361.0,13798.0,12300,2022-02-14
18,13973.0,13973.0,13012.0,13012.0,17900,2022-02-15
19,12401.0,13623.0,12401.0,12838.0,34500,2022-02-16
20,12226.0,14060.0,12226.0,14060.0,31900,2022-02-17
21,13973.0,15283.0,13274.0,14060.0,34100,2022-02-18
22,13798.0,13885.0,13536.0,13798.0,18000,2022-02-21
23,13536.0,13711.0,13100.0,13100.0,10500,2022-02-22
24,13449.0,14409.0,13100.0,13187.0,6600,2022-02-23
25,13187.0,13274.0,12838.0,12925.0,22600,2022-02-24
26,13187.0,13449.0,13012.0,13449.0,4800,2022-02-25
27,13100.0,13449.0,13100.0,13274.0,11200,2022-02-28
28,13100.0,13361.0,13100.0,13100.0,12500,2022-03-01
29,13100.0,13449.0,13012.0,13100.0,9900,2022-03-02
30,13012.0,13274.0,12925.0,13274.0,9200,2022-03-03
31,13274.0,13449.0,13012.0,13361.0,10700,2022-03-04
32,13274.0,13536.0,13100.0,13536.0,64100,2022-03-07
33,13711.0,14846.0,13711.0,14846.0,112400,2022-03-08
34,16243.0,16331.0,16069.0,16331.0,98900,2022-03-09
35,16593.0,16593.0,15370.0,16156.0,61500,2022-03-10
36,16156.0,16156.0,14846.0,14933.0,67400,2022-03-11
37,13449.0,14933.0,13449.0,14060.0,25600,2022-03-14
38,14060.0,14584.0,13361.0,14584.0,33200,2022-03-15
39,13798.0,14584.0,13798.0,13973.0,26500,2022-03-16
40,15283.0,15283.0,14060.0,14846.0,52900,2022-03-17
41,14846.0,15545.0,14846.0,15545.0,33600,2022-03-18
42,15545.0,15981.0,15283.0,15283.0,38800,2022-03-21
43,15894.0,15894.0,14846.0,15632.0,55300,2022-03-22
44,14933.0,15195.0,14584.0,14846.0,39400,2022-03-23
45,14409.0,14846.0,14235.0,14759.0,10000,2022-03-24
46,14409.0,14846.0,14409.0,14759.0,6600,2022-03-25
47,14497.0,14497.0,14235.0,14409.0,43900,2022-03-28
48,14497.0,14671.0,14235.0,14409.0,30800,2022-03-29
49,15719.0,15719.0,14409.0,14671.0,9200,2022-03-30
50,14147.0,14584.0,14147.0,14584.0,10200,2022-03-31
51,14497.0,14497.0,13973.0,14147.0,25800,2022-04-01
52,14235.0,14322.0,14235.0,14322.0,9600,2022-04-04
53,14322.0,14322.0,13973.0,14060.0,2600,2022-04-05
