,Open,High,Low,Close,Volume,TradingDate
0,10578.0,19833.0,9916.0,12627.0,23700,2010-04-29
1,13486.0,13486.0,11767.0,11834.0,83900,2010-05-04
2,11834.0,11900.0,11569.0,11834.0,115500,2010-05-05
3,12660.0,12660.0,12660.0,12660.0,93400,2010-05-06
4,13519.0,13519.0,13387.0,13519.0,114200,2010-05-07
5,14445.0,14445.0,14445.0,14445.0,181500,2010-05-10
6,15437.0,15437.0,15437.0,15437.0,415900,2010-05-11
7,16494.0,16494.0,15370.0,15932.0,102900,2010-05-12
8,14908.0,15205.0,14842.0,14842.0,99600,2010-05-13
9,13817.0,15866.0,13817.0,13817.0,89800,2010-05-14
10,12858.0,14742.0,12858.0,13123.0,194700,2010-05-17
11,12263.0,12263.0,12230.0,12230.0,40600,2010-05-18
12,11404.0,12230.0,11404.0,11734.0,309200,2010-05-19
13,10974.0,12528.0,10941.0,11338.0,82300,2010-05-20
14,10544.0,10544.0,10544.0,10544.0,9100,2010-05-21
15,9949.0,11272.0,9817.0,11007.0,89900,2010-05-24
16,11767.0,11767.0,11602.0,11767.0,46200,2010-05-25
17,12561.0,12561.0,12230.0,12561.0,137800,2010-05-26
18,13156.0,13156.0,11734.0,12462.0,70300,2010-05-27
19,12561.0,13321.0,12396.0,13222.0,312600,2010-05-28
20,13222.0,13222.0,12296.0,12594.0,21500,2010-05-31
21,12594.0,12594.0,11734.0,11767.0,188400,2010-06-01
22,11404.0,12561.0,11404.0,12197.0,205500,2010-06-02
23,13024.0,13024.0,11900.0,12528.0,99200,2010-06-03
24,12528.0,12726.0,12065.0,12396.0,115000,2010-06-04
25,12065.0,12065.0,11536.0,11635.0,55700,2010-06-07
26,10842.0,12429.0,10842.0,11999.0,289800,2010-06-08
27,12825.0,12825.0,12726.0,12825.0,629600,2010-06-09
28,13387.0,13387.0,12528.0,12759.0,201500,2010-06-10
29,13057.0,13222.0,12396.0,12825.0,151800,2010-06-11
30,12561.0,12891.0,12396.0,12726.0,127800,2010-06-14
31,12561.0,13585.0,12396.0,12991.0,625500,2010-06-15
32,13519.0,13817.0,12991.0,13354.0,361300,2010-06-16
33,13420.0,13552.0,12561.0,12991.0,118700,2010-06-17
34,12957.0,13057.0,12792.0,12924.0,104800,2010-06-18
35,12957.0,13057.0,12726.0,12891.0,194600,2010-06-21
36,12957.0,13354.0,12726.0,12924.0,267900,2010-06-22
37,12891.0,12991.0,12660.0,12891.0,131900,2010-06-23
38,13057.0,13784.0,13057.0,13685.0,488500,2010-06-24
39,13387.0,13883.0,13024.0,13453.0,151500,2010-06-25
40,13156.0,13222.0,12627.0,12825.0,134000,2010-06-28
41,12561.0,12891.0,12561.0,12693.0,89200,2010-06-29
42,12561.0,12561.0,11900.0,12164.0,90300,2010-06-30
43,12065.0,12957.0,12065.0,12726.0,217400,2010-07-01
44,12792.0,13222.0,12561.0,12924.0,178500,2010-07-02
45,13057.0,13817.0,13057.0,13652.0,493700,2010-07-05
46,14577.0,14577.0,14544.0,14577.0,545300,2010-07-06
47,15569.0,15569.0,15172.0,15503.0,310700,2010-07-07
48,16560.0,16560.0,15866.0,16428.0,277100,2010-07-08
49,16395.0,16395.0,15304.0,15370.0,94800,2010-07-09
50,14313.0,15139.0,14313.0,14379.0,404800,2010-07-12
51,14875.0,15172.0,14445.0,14742.0,222600,2010-07-13
