,Open,High,Low,Close,Volume,TradingDate
0,7233.0,7094.0,3871.0,4195.0,97400,2008-04-23
1,4154.0,4154.0,4154.0,4154.0,22900,2008-04-24
2,4030.0,4030.0,4030.0,4030.0,6400,2008-04-25
3,3927.0,3989.0,3947.0,3947.0,21700,2008-04-28
4,3823.0,3966.0,3762.0,3823.0,32800,2008-04-29
5,3823.0,3823.0,3782.0,3782.0,11600,2008-05-05
6,3679.0,3679.0,3679.0,3679.0,11200,2008-05-06
7,3575.0,3575.0,3575.0,3575.0,700,2008-05-07
8,3472.0,3472.0,3472.0,3472.0,5000,2008-05-08
9,3369.0,3369.0,3369.0,3369.0,1500,2008-05-09
10,3286.0,3286.0,3286.0,3286.0,13900,2008-05-12
11,3203.0,3203.0,3203.0,3203.0,100,2008-05-13
12,3121.0,3121.0,3121.0,3121.0,1100,2008-05-14
13,3038.0,3038.0,3038.0,3038.0,10500,2008-05-15
14,2955.0,2955.0,2955.0,2955.0,24600,2008-05-16
15,2873.0,2873.0,2873.0,2873.0,4700,2008-05-19
16,2790.0,2790.0,2790.0,2790.0,2300,2008-05-20
17,2707.0,2707.0,2707.0,2707.0,2500,2008-05-21
18,2645.0,2645.0,2645.0,2645.0,3100,2008-05-22
19,2583.0,2583.0,2583.0,2583.0,3000,2008-05-23
20,2521.0,2521.0,2521.0,2521.0,4800,2008-05-26
21,2459.0,2521.0,2459.0,2459.0,18700,2008-05-27
22,2397.0,2521.0,2397.0,2397.0,82100,2008-05-28
23,2335.0,2418.0,2356.0,2377.0,89800,2008-05-29
24,2418.0,2418.0,2377.0,2418.0,21200,2008-05-30
25,2480.0,2480.0,2356.0,2459.0,41700,2008-06-02
26,2459.0,2480.0,2397.0,2439.0,30100,2008-06-03
27,2377.0,2397.0,2356.0,2377.0,21000,2008-06-04
28,2315.0,2315.0,2315.0,2315.0,16000,2008-06-05
29,2253.0,2335.0,2253.0,2253.0,23200,2008-06-06
30,2232.0,2272.0,2171.0,2211.0,15100,2008-06-09
31,2211.0,2357.0,2231.0,2315.0,12700,2008-06-10
32,2335.0,2335.0,2335.0,2335.0,6600,2008-06-11
33,2397.0,2397.0,2397.0,2397.0,9500,2008-06-12
34,2459.0,2459.0,2459.0,2459.0,18700,2008-06-13
35,2501.0,2521.0,2501.0,2521.0,17400,2008-06-16
36,2583.0,2583.0,2583.0,2583.0,700,2008-06-17
37,2645.0,2561.0,2441.0,2521.0,15200,2008-06-18
38,2501.0,2501.0,2501.0,2501.0,7900,2008-06-19
39,2418.0,2418.0,2418.0,2418.0,100,2008-06-20
40,2335.0,2543.0,2375.0,2501.0,34600,2008-06-23
41,2397.0,2565.0,2459.0,2480.0,16200,2008-06-24
42,2418.0,2522.0,2438.0,2501.0,19300,2008-06-25
43,2563.0,2605.0,2437.0,2563.0,40300,2008-06-26
44,2604.0,2669.0,2499.0,2563.0,21200,2008-06-27
45,2459.0,2584.0,2479.0,2563.0,13900,2008-06-30
46,2542.0,2625.0,2542.0,2625.0,24300,2008-07-01
47,2687.0,2749.0,2686.0,2728.0,57800,2008-07-02
48,2811.0,2811.0,2811.0,2811.0,18600,2008-07-03
49,2914.0,2914.0,2914.0,2914.0,20900,2008-07-04
50,3017.0,2974.0,2770.0,2811.0,23700,2008-07-07
51,2749.0,2980.0,2851.0,2873.0,22000,2008-07-08
52,2811.0,2831.0,2750.0,2811.0,29500,2008-07-09
53,2893.0,2976.0,2893.0,2935.0,54100,2008-07-10
54,2955.0,3038.0,2913.0,3017.0,65200,2008-07-11
55,3100.0,3121.0,3038.0,3100.0,24300,2008-07-14
56,3183.0,3183.0,3183.0,3183.0,12000,2008-07-15
57,3307.0,3327.0,3078.0,3307.0,63200,2008-07-16
58,3410.0,3410.0,3369.0,3410.0,58300,2008-07-17
59,3534.0,3469.0,3225.0,3286.0,54100,2008-07-18
60,3224.0,3224.0,3224.0,3224.0,4200,2008-07-21
61,3100.0,3100.0,3100.0,3100.0,100,2008-07-22
62,2976.0,2976.0,2976.0,2976.0,100,2008-07-23
63,2873.0,2955.0,2873.0,2873.0,26800,2008-07-24
64,2769.0,2769.0,2769.0,2769.0,12800,2008-07-25
65,2666.0,2666.0,2666.0,2666.0,4100,2008-07-28
66,2583.0,2642.0,2444.0,2563.0,27800,2008-07-29
67,2790.0,2746.0,2543.0,2604.0,13700,2008-07-30
68,2542.0,2563.0,2542.0,2542.0,59500,2008-07-31
