,Open,High,Low,Close,Volume,TradingDate
0,2500.0,3722.0,2500.0,3061.0,141100,2010-01-13
1,3272.0,3272.0,3272.0,3272.0,30500,2010-01-14
2,3500.0,3500.0,3500.0,3500.0,126400,2010-01-15
3,3744.0,3744.0,3500.0,3689.0,28000,2010-01-18
4,3433.0,3500.0,3433.0,3461.0,144700,2010-01-19
5,3544.0,3544.0,3222.0,3317.0,38100,2010-01-20
6,3089.0,3217.0,3089.0,3117.0,59700,2010-01-21
7,3322.0,3333.0,3111.0,3300.0,73400,2010-01-22
8,3489.0,3489.0,3278.0,3344.0,10200,2010-01-25
9,3417.0,3511.0,3417.0,3483.0,57500,2010-01-26
10,3483.0,3483.0,3244.0,3350.0,16900,2010-01-27
11,3122.0,3122.0,3117.0,3117.0,38200,2010-01-28
12,3000.0,3055.0,2900.0,2944.0,21800,2010-01-29
13,3144.0,3144.0,3028.0,3033.0,2700,2010-02-01
14,3155.0,3155.0,3111.0,3122.0,700,2010-02-02
15,3111.0,3111.0,3055.0,3072.0,3400,2010-02-03
16,3111.0,3111.0,2972.0,3005.0,17100,2010-02-04
17,2955.0,2955.0,2805.0,2878.0,38400,2010-02-05
18,2833.0,2833.0,2778.0,2805.0,8400,2010-02-08
19,2994.0,2994.0,2611.0,2633.0,12100,2010-02-09
20,2817.0,2817.0,2811.0,2811.0,3000,2010-02-10
21,2983.0,2983.0,2811.0,2855.0,400,2010-02-11
22,2889.0,3000.0,2889.0,2967.0,18700,2010-02-12
23,3033.0,3033.0,2889.0,2967.0,12500,2010-02-22
24,2844.0,2861.0,2844.0,2855.0,6600,2010-02-23
25,2833.0,2844.0,2833.0,2844.0,106300,2010-02-24
26,2955.0,2994.0,2861.0,2894.0,45200,2010-02-25
27,2861.0,2883.0,2778.0,2828.0,17200,2010-02-26
28,2833.0,2917.0,2833.0,2872.0,25200,2010-03-01
29,2861.0,2861.0,2750.0,2778.0,7000,2010-03-02
30,2778.0,2855.0,2722.0,2767.0,11000,2010-03-03
31,2878.0,2883.0,2767.0,2811.0,42400,2010-03-04
32,2783.0,2878.0,2778.0,2811.0,46600,2010-03-05
33,2889.0,2967.0,2889.0,2928.0,63300,2010-03-08
34,3028.0,3044.0,2900.0,2944.0,24700,2010-03-09
35,3000.0,3000.0,2805.0,2922.0,27100,2010-03-10
36,2900.0,2905.0,2861.0,2878.0,22900,2010-03-11
37,2733.0,2911.0,2733.0,2844.0,34100,2010-03-12
38,3000.0,3039.0,3000.0,3033.0,186000,2010-03-15
39,3244.0,3244.0,2833.0,2994.0,53100,2010-03-16
40,2944.0,2944.0,2861.0,2889.0,14600,2010-03-17
41,2989.0,3050.0,2833.0,2944.0,38800,2010-03-18
42,2917.0,2944.0,2844.0,2900.0,49000,2010-03-19
43,2844.0,2917.0,2817.0,2878.0,26300,2010-03-22
44,3078.0,3078.0,2905.0,2972.0,49700,2010-03-23
45,2944.0,2972.0,2833.0,2889.0,22400,2010-03-24
46,2889.0,3078.0,2778.0,2883.0,76500,2010-03-25
47,2967.0,3083.0,2922.0,3050.0,226600,2010-03-26
48,3261.0,3261.0,3261.0,3261.0,55300,2010-03-29
49,3489.0,3489.0,3278.0,3455.0,172700,2010-03-30
50,3222.0,3333.0,3217.0,3228.0,124700,2010-03-31
51,3333.0,3444.0,3083.0,3283.0,175100,2010-04-01
52,3494.0,3511.0,3461.0,3505.0,130800,2010-04-02
53,3511.0,3722.0,3500.0,3622.0,144000,2010-04-05
54,3622.0,3622.0,3372.0,3428.0,151000,2010-04-06
55,3472.0,3583.0,3389.0,3439.0,81400,2010-04-07
56,3678.0,3678.0,3339.0,3439.0,89600,2010-04-08
57,3467.0,3528.0,3439.0,3478.0,126100,2010-04-09
58,3455.0,3511.0,3289.0,3339.0,62600,2010-04-12
59,3305.0,3305.0,3172.0,3228.0,62500,2010-04-13
60,3333.0,3333.0,3222.0,3233.0,20000,2010-04-14
61,3233.0,3278.0,3233.0,3244.0,21000,2010-04-15
62,3278.0,3278.0,3194.0,3233.0,34800,2010-04-16
63,3250.0,3250.0,3083.0,3155.0,67100,2010-04-19
64,3222.0,3372.0,3222.0,3339.0,86300,2010-04-20
65,3572.0,3572.0,3444.0,3561.0,160100,2010-04-21
66,3722.0,3722.0,3317.0,3350.0,52500,2010-04-22
67,3361.0,3361.0,3261.0,3300.0,58900,2010-04-26
68,3372.0,3517.0,3333.0,3422.0,72500,2010-04-27
69,3444.0,3611.0,3444.0,3578.0,149000,2010-04-28
70,3611.0,3722.0,3478.0,3550.0,77700,2010-04-29
71,3561.0,3561.0,3489.0,3533.0,73100,2010-05-04
72,3394.0,3444.0,3344.0,3383.0,41600,2010-05-05
73,3300.0,3383.0,3300.0,3355.0,48900,2010-05-06
74,3355.0,3355.0,3255.0,3300.0,54700,2010-05-07
75,3300.0,3300.0,3189.0,3211.0,60300,2010-05-10
76,3278.0,3278.0,3167.0,3217.0,27100,2010-05-11
77,3194.0,3211.0,3117.0,3161.0,28400,2010-05-12
78,3222.0,3222.0,3122.0,3144.0,14100,2010-05-13
79,3194.0,3194.0,3111.0,3133.0,19000,2010-05-14
80,3122.0,3122.0,2944.0,3039.0,27100,2010-05-17
81,3000.0,3000.0,2878.0,2911.0,23500,2010-05-18
82,2883.0,2883.0,2711.0,2789.0,73900,2010-05-19
83,2667.0,2911.0,2611.0,2767.0,50100,2010-05-20
84,2778.0,2783.0,2611.0,2717.0,79300,2010-05-21
85,2778.0,2783.0,2722.0,2750.0,37200,2010-05-24
86,2778.0,2778.0,2750.0,2772.0,28100,2010-05-25
87,2833.0,2889.0,2778.0,2839.0,20000,2010-05-26
88,2778.0,2889.0,2755.0,2833.0,16700,2010-05-27
89,2917.0,3028.0,2917.0,2989.0,11400,2010-05-28
90,3144.0,3144.0,2944.0,3061.0,1300,2010-05-31
91,3083.0,3083.0,2917.0,2955.0,8600,2010-06-01
92,2944.0,2961.0,2933.0,2944.0,4500,2010-06-02
93,3111.0,3111.0,2778.0,2844.0,7500,2010-06-03
94,2889.0,2889.0,2833.0,2867.0,8200,2010-06-04
95,2805.0,2805.0,2755.0,2772.0,11400,2010-06-07
96,2733.0,2800.0,2694.0,2722.0,11200,2010-06-08
97,2778.0,2778.0,2750.0,2755.0,26900,2010-06-09
98,2717.0,2833.0,2717.0,2783.0,5400,2010-06-10
99,2794.0,2917.0,2794.0,2883.0,8200,2010-06-11
100,2889.0,2911.0,2833.0,2894.0,9600,2010-06-14
101,2833.0,2889.0,2833.0,2878.0,12800,2010-06-15
102,2972.0,3055.0,2889.0,3005.0,11600,2010-06-16
103,2972.0,3000.0,2933.0,2978.0,9600,2010-06-17
104,3028.0,3028.0,2933.0,3017.0,18400,2010-06-18
105,3000.0,3000.0,2922.0,2961.0,15100,2010-06-21
106,2950.0,2950.0,2861.0,2889.0,10700,2010-06-22
107,2844.0,2844.0,2811.0,2833.0,8900,2010-06-23
108,2889.0,2889.0,2844.0,2883.0,4600,2010-06-24
109,2833.0,2883.0,2822.0,2844.0,10900,2010-06-25
110,2844.0,2878.0,2844.0,2855.0,12400,2010-06-28
111,2889.0,2889.0,2867.0,2883.0,26200,2010-06-29
112,2833.0,2889.0,2805.0,2828.0,16500,2010-06-30
113,2939.0,2939.0,2833.0,2855.0,9900,2010-07-01
114,2939.0,2950.0,2889.0,2922.0,16300,2010-07-02
115,2939.0,2939.0,2889.0,2917.0,2000,2010-07-05
116,2889.0,2889.0,2844.0,2861.0,9400,2010-07-06
117,2889.0,2889.0,2861.0,2867.0,5900,2010-07-07
118,2922.0,2922.0,2833.0,2839.0,9400,2010-07-08
119,2883.0,2883.0,2833.0,2844.0,6900,2010-07-09
120,2833.0,2855.0,2833.0,2844.0,11200,2010-07-12
121,2889.0,2917.0,2861.0,2894.0,6300,2010-07-13
122,2944.0,2944.0,2844.0,2883.0,19600,2010-07-14
123,2844.0,2844.0,2844.0,2844.0,1000,2010-07-15
124,2933.0,2933.0,2900.0,2917.0,20300,2010-07-16
125,2817.0,2917.0,2722.0,2839.0,3100,2010-07-19
126,2911.0,2911.0,2839.0,2844.0,4800,2010-07-20
127,2939.0,2939.0,2839.0,2855.0,3100,2010-07-21
128,2905.0,2905.0,2844.0,2850.0,3500,2010-07-22
129,2855.0,2855.0,2839.0,2844.0,15500,2010-07-23
130,2839.0,2839.0,2833.0,2833.0,6900,2010-07-26
131,2778.0,2789.0,2722.0,2772.0,16500,2010-07-27
132,2805.0,2805.0,2722.0,2733.0,7400,2010-07-28
133,2722.0,2722.0,2667.0,2683.0,7800,2010-07-29
134,2694.0,2711.0,2694.0,2700.0,1100,2010-07-30
135,2750.0,2767.0,2705.0,2722.0,34900,2010-08-02
136,2805.0,2805.0,2733.0,2778.0,2400,2010-08-03
137,2750.0,2767.0,2733.0,2744.0,3100,2010-08-04
138,2744.0,2750.0,2739.0,2744.0,6000,2010-08-05
139,2750.0,2778.0,2722.0,2761.0,32300,2010-08-06
140,2755.0,2755.0,2722.0,2728.0,14200,2010-08-09
141,2694.0,2700.0,2539.0,2611.0,11600,2010-08-10
142,2611.0,2667.0,2611.0,2639.0,9000,2010-08-11
143,2494.0,2494.0,2459.0,2476.0,10000,2010-08-12
144,2494.0,2552.0,2494.0,2529.0,2000,2010-08-13
145,2645.0,2645.0,2581.0,2610.0,5300,2010-08-16
146,2610.0,2581.0,2581.0,2610.0,0,2010-08-17
147,2523.0,2552.0,2494.0,2511.0,4300,2010-08-18
148,2436.0,2494.0,2424.0,2436.0,2800,2010-08-19
149,2534.0,2534.0,2355.0,2395.0,3500,2010-08-20
150,2436.0,2436.0,2302.0,2337.0,2300,2010-08-23
151,2262.0,2262.0,2210.0,2244.0,3300,2010-08-24
152,2204.0,2204.0,2088.0,2105.0,7900,2010-08-25
153,2175.0,2175.0,2117.0,2128.0,5400,2010-08-26
154,2117.0,2157.0,2117.0,2146.0,10000,2010-08-27
155,2291.0,2291.0,2262.0,2291.0,24600,2010-08-30
156,2430.0,2430.0,2349.0,2413.0,12700,2010-08-31
157,2494.0,2494.0,2413.0,2418.0,6200,2010-09-01
158,2552.0,2552.0,2540.0,2546.0,800,2010-09-06
159,2662.0,2662.0,2372.0,2401.0,6600,2010-09-07
160,2401.0,2407.0,2239.0,2262.0,10000,2010-09-08
161,2418.0,2418.0,2320.0,2366.0,12400,2010-09-09
162,2366.0,2366.0,2244.0,2268.0,12400,2010-09-10
163,2233.0,2239.0,2233.0,2233.0,3000,2010-09-13
164,2308.0,2308.0,2308.0,2308.0,100,2010-09-14
165,2302.0,2302.0,2262.0,2268.0,1700,2010-09-15
166,2268.0,2262.0,2262.0,2268.0,0,2010-09-16
167,2320.0,2320.0,2279.0,2297.0,9700,2010-09-17
168,2378.0,2436.0,2308.0,2337.0,29700,2010-09-20
169,2331.0,2331.0,2268.0,2308.0,9800,2010-09-21
170,2331.0,2331.0,2273.0,2279.0,900,2010-09-22
171,2262.0,2262.0,2239.0,2239.0,4700,2010-09-23
172,2389.0,2389.0,2215.0,2244.0,2800,2010-09-24
173,2331.0,2331.0,2239.0,2273.0,6800,2010-09-27
174,2291.0,2291.0,2279.0,2285.0,9900,2010-09-28
175,2262.0,2262.0,2250.0,2250.0,6100,2010-09-29
176,2244.0,2244.0,2239.0,2244.0,3300,2010-09-30
177,2250.0,2250.0,2244.0,2244.0,3700,2010-10-01
178,2175.0,2175.0,2088.0,2105.0,19900,2010-10-04
179,2204.0,2204.0,2088.0,2111.0,2800,2010-10-05
180,2204.0,2204.0,2152.0,2181.0,800,2010-10-06
181,2088.0,2204.0,2059.0,2094.0,600,2010-10-07
182,2157.0,2157.0,2088.0,2099.0,2600,2010-10-08
183,2030.0,2036.0,1972.0,2001.0,13900,2010-10-11
184,1960.0,1972.0,1920.0,1931.0,8600,2010-10-12
185,1972.0,2024.0,1972.0,2012.0,4200,2010-10-13
186,2088.0,2088.0,2036.0,2053.0,3300,2010-10-14
187,2053.0,2140.0,2053.0,2059.0,2200,2010-10-15
188,2065.0,2198.0,2065.0,2146.0,19300,2010-10-18
189,2244.0,2244.0,2146.0,2169.0,25300,2010-10-19
190,2088.0,2146.0,2059.0,2094.0,4600,2010-10-20
191,2192.0,2192.0,2094.0,2099.0,2700,2010-10-21
192,2099.0,2099.0,2099.0,2099.0,2000,2010-10-22
