,Open,High,Low,Close,Volume,TradingDate
0,6240.0,6240.0,6240.0,6200.0,0,2017-08-21
1,5244.0,5244.0,5244.0,5200.0,15000,2017-08-22
2,5244.0,5244.0,5244.0,5200.0,0,2017-08-23
3,4982.0,4982.0,4982.0,5000.0,500,2017-08-24
4,4720.0,4720.0,4720.0,4700.0,5000,2017-08-25
5,4720.0,4720.0,4720.0,4700.0,1200,2017-08-28
6,4720.0,4720.0,4720.0,4700.0,0,2017-08-29
7,4720.0,4720.0,4720.0,4700.0,0,2017-08-30
8,4457.0,4825.0,4457.0,4500.0,2400,2017-08-31
9,4720.0,4720.0,4720.0,4700.0,200,2017-09-01
10,4615.0,4615.0,4615.0,4600.0,300,2017-09-05
11,4510.0,4510.0,4510.0,4600.0,200,2017-09-06
12,4615.0,4615.0,4615.0,4600.0,0,2017-09-07
13,4457.0,4457.0,4457.0,4500.0,1000,2017-09-08
14,4405.0,4405.0,4405.0,4400.0,119000,2017-09-11
15,3828.0,3828.0,3828.0,3800.0,800,2017-09-12
16,4248.0,4248.0,4195.0,4200.0,140000,2017-09-13
17,4248.0,4248.0,4248.0,4200.0,0,2017-09-14
18,4248.0,4248.0,4248.0,4200.0,0,2017-09-15
19,3671.0,3671.0,3618.0,3600.0,600,2017-09-18
20,3671.0,3671.0,3671.0,3700.0,0,2017-09-19
21,3671.0,3671.0,3671.0,3700.0,0,2017-09-20
22,3671.0,3671.0,3671.0,3700.0,0,2017-09-21
23,3671.0,3671.0,3671.0,3700.0,0,2017-09-22
24,4195.0,4195.0,4195.0,4200.0,600,2017-09-25
25,4248.0,4300.0,4248.0,4300.0,8500,2017-09-26
26,4300.0,4300.0,4300.0,4300.0,100,2017-09-27
27,4300.0,4300.0,4300.0,4300.0,23200,2017-09-28
28,4248.0,4353.0,4248.0,4300.0,2400,2017-09-29
29,4300.0,4300.0,4248.0,4300.0,62000,2017-10-02
30,4300.0,4300.0,4300.0,4300.0,700,2017-10-03
31,4300.0,4300.0,4300.0,4300.0,0,2017-10-04
32,4300.0,4300.0,4300.0,4300.0,0,2017-10-05
33,4300.0,4300.0,4300.0,4300.0,0,2017-10-06
34,3723.0,4090.0,3671.0,4000.0,22600,2017-10-09
35,3986.0,3986.0,3986.0,4000.0,19600,2017-10-10
36,3986.0,3986.0,3986.0,4000.0,25000,2017-10-11
37,3986.0,3986.0,3986.0,4000.0,13500,2017-10-12
38,3986.0,3986.0,3986.0,4000.0,0,2017-10-13
39,3986.0,3986.0,3986.0,4000.0,0,2017-10-16
40,4038.0,4038.0,3986.0,4000.0,35000,2017-10-17
41,3986.0,3986.0,3986.0,4000.0,0,2017-10-18
42,3986.0,3986.0,3986.0,4000.0,0,2017-10-19
43,3986.0,3986.0,3986.0,4000.0,0,2017-10-20
44,4038.0,4038.0,4038.0,4000.0,400,2017-10-23
45,4038.0,4038.0,4038.0,4000.0,0,2017-10-24
46,4038.0,4090.0,4038.0,4000.0,28000,2017-10-25
47,4038.0,4038.0,4038.0,4000.0,17000,2017-10-26
48,4038.0,4038.0,4038.0,4000.0,9900,2017-10-27
49,4038.0,4090.0,4038.0,4000.0,10300,2017-10-30
50,4038.0,4038.0,4038.0,4000.0,700,2017-10-31
51,4038.0,4038.0,4038.0,4000.0,0,2017-11-01
52,4038.0,4038.0,4038.0,4000.0,0,2017-11-02
53,4038.0,4038.0,4038.0,4000.0,0,2017-11-03
54,4038.0,4038.0,4038.0,4000.0,0,2017-11-06
55,4038.0,4038.0,4038.0,4000.0,0,2017-11-07
56,4038.0,4038.0,4038.0,4000.0,0,2017-11-08
57,4038.0,4038.0,4038.0,4000.0,0,2017-11-09
58,4038.0,4038.0,4038.0,4000.0,0,2017-11-10
59,3514.0,3514.0,3514.0,3500.0,7700,2017-11-13
60,3671.0,3671.0,3671.0,3700.0,7300,2017-11-14
61,3671.0,3671.0,3671.0,3700.0,0,2017-11-15
62,3671.0,3671.0,3671.0,3700.0,0,2017-11-16
63,3671.0,3671.0,3671.0,3700.0,0,2017-11-17
64,3671.0,3671.0,3671.0,3700.0,0,2017-11-20
65,3671.0,3671.0,3671.0,3700.0,0,2017-11-21
66,3671.0,3671.0,3671.0,3700.0,0,2017-11-22
67,4195.0,4195.0,4195.0,4200.0,100,2017-11-23
68,4195.0,4195.0,4195.0,4200.0,0,2017-11-24
69,4195.0,4195.0,4195.0,4200.0,0,2017-11-27
70,4195.0,4195.0,4195.0,4200.0,0,2017-11-28
71,4195.0,4195.0,4195.0,4200.0,1900,2017-11-29
72,4720.0,4720.0,4720.0,4700.0,1000,2017-11-30
73,4720.0,4720.0,4720.0,4700.0,0,2017-12-01
74,4720.0,4720.0,4720.0,4700.0,0,2017-12-04
75,4720.0,4720.0,4720.0,4700.0,0,2017-12-05
76,4720.0,4720.0,4720.0,4700.0,0,2017-12-06
77,4720.0,4720.0,4720.0,4700.0,0,2017-12-07
78,5139.0,5139.0,5139.0,5100.0,100,2017-12-08
79,5139.0,5139.0,5139.0,5100.0,0,2017-12-11
80,5139.0,5139.0,5139.0,5100.0,0,2017-12-12
81,5139.0,5139.0,5139.0,5100.0,0,2017-12-13
82,5139.0,5139.0,5139.0,5100.0,0,2017-12-14
83,5139.0,5139.0,5139.0,5100.0,0,2017-12-15
84,5139.0,5139.0,5139.0,5100.0,0,2017-12-18
85,4405.0,4405.0,4405.0,4400.0,100,2017-12-19
86,4405.0,4405.0,4405.0,4400.0,0,2017-12-20
87,4405.0,4405.0,4405.0,4400.0,0,2017-12-21
88,4405.0,4405.0,4405.0,4400.0,0,2017-12-22
89,3776.0,3776.0,3776.0,3800.0,100,2017-12-25
90,3776.0,3776.0,3776.0,3800.0,0,2017-12-26
91,3776.0,3776.0,3776.0,3800.0,0,2017-12-27
92,3776.0,3776.0,3776.0,3800.0,0,2017-12-28
93,3304.0,3304.0,3304.0,3300.0,100,2017-12-29
94,3304.0,3304.0,3304.0,3300.0,0,2018-01-02
95,2884.0,2884.0,2884.0,2900.0,100,2018-01-03
96,2884.0,2884.0,2884.0,2900.0,0,2018-01-04
97,2884.0,2884.0,2884.0,2900.0,0,2018-01-05
98,2884.0,2884.0,2884.0,2900.0,0,2018-01-08
99,2884.0,2884.0,2884.0,2900.0,0,2018-01-09
100,2884.0,2884.0,2884.0,2900.0,0,2018-01-10
101,2884.0,2884.0,2884.0,2900.0,0,2018-01-11
102,2884.0,2884.0,2884.0,2900.0,0,2018-01-12
103,2570.0,2570.0,2570.0,2600.0,100,2018-01-15
104,2570.0,2570.0,2570.0,2600.0,0,2018-01-16
105,2360.0,2360.0,2360.0,2400.0,100,2018-01-17
106,2674.0,2674.0,2674.0,2700.0,100,2018-01-18
107,2674.0,2674.0,2674.0,2700.0,0,2018-01-19
108,2674.0,2674.0,2674.0,2700.0,0,2018-01-22
109,3042.0,3042.0,3042.0,3000.0,100,2018-01-23
110,3042.0,3042.0,3042.0,3000.0,0,2018-01-24
111,3042.0,3042.0,3042.0,3000.0,0,2018-01-25
112,3042.0,3042.0,3042.0,3000.0,0,2018-01-26
113,3042.0,3042.0,3042.0,3000.0,0,2018-01-29
114,3042.0,3042.0,3042.0,3000.0,0,2018-01-30
115,3461.0,3461.0,3199.0,3200.0,34000,2018-01-31
116,3304.0,3304.0,3304.0,3300.0,6000,2018-02-01
117,3304.0,3304.0,3304.0,3300.0,0,2018-02-02
118,3304.0,3304.0,3304.0,3300.0,0,2018-02-05
119,3776.0,3776.0,3776.0,3800.0,100,2018-02-06
120,3776.0,3776.0,3776.0,3800.0,0,2018-02-07
121,3304.0,3304.0,3304.0,3300.0,30000,2018-02-08
122,3304.0,3304.0,3304.0,3300.0,0,2018-02-09
123,3304.0,3304.0,3304.0,3300.0,0,2018-02-12
124,3304.0,3304.0,3304.0,3300.0,0,2018-02-13
125,3304.0,3304.0,3304.0,3300.0,0,2018-02-21
