,Open,High,Low,Close,Volume,TradingDate
0,5252.0,,,5300.0,0,2010-01-26
1,5065.0,5252.0,5252.0,5100.0,0,2010-01-27
2,4877.0,4877.0,4877.0,4900.0,0,2010-02-05
3,3526.0,3526.0,3526.0,3500.0,0,2010-03-01
4,3526.0,3526.0,3526.0,3500.0,0,2010-03-02
5,3526.0,3526.0,3526.0,3500.0,0,2010-03-03
6,3189.0,3189.0,3189.0,3200.0,400,2010-03-04
7,3489.0,3605.0,3489.0,3500.0,1150,2010-03-05
8,3489.0,3376.0,3376.0,3500.0,0,2010-03-08
9,3489.0,3376.0,3376.0,3500.0,0,2010-03-09
10,3076.0,3076.0,3039.0,3100.0,1020,2010-03-10
11,2776.0,2813.0,2739.0,2800.0,1200,2010-03-11
12,2814.0,2814.0,2814.0,2800.0,500,2010-03-12
13,2814.0,3036.0,2777.0,2800.0,1200,2010-03-15
14,3114.0,3114.0,3114.0,3100.0,200,2010-03-16
15,3114.0,3114.0,3114.0,3100.0,0,2010-03-17
16,3189.0,3414.0,3189.0,3200.0,5320,2010-03-18
17,3001.0,3446.0,2964.0,3000.0,1600,2010-03-19
18,3339.0,3377.0,3225.0,3300.0,3000,2010-03-22
19,3602.0,3602.0,3602.0,3600.0,120,2010-03-23
20,3602.0,3602.0,3602.0,3600.0,0,2010-03-24
21,3264.0,3301.0,3301.0,3300.0,0,2010-03-26
22,3602.0,3602.0,3602.0,3600.0,4000,2010-03-29
23,3264.0,3264.0,3264.0,3300.0,0,2010-03-30
24,3264.0,3264.0,3264.0,3300.0,10,2010-03-31
25,3564.0,3564.0,3564.0,3600.0,2010,2010-04-01
26,3226.0,3226.0,3226.0,3200.0,10,2010-04-02
27,3376.0,3376.0,3376.0,3400.0,20,2010-04-05
28,3714.0,3714.0,3564.0,3700.0,2050,2010-04-06
29,3376.0,3376.0,3376.0,3400.0,10,2010-04-07
30,3039.0,3039.0,3039.0,3000.0,20,2010-04-08
31,3039.0,3039.0,3039.0,3000.0,0,2010-04-09
32,3039.0,3039.0,3039.0,3000.0,0,2010-04-12
33,2776.0,3013.0,2505.0,2800.0,20,2010-04-13
34,2851.0,2851.0,2851.0,2900.0,0,2010-04-14
35,2851.0,2851.0,2851.0,2900.0,0,2010-04-15
36,3114.0,3114.0,3114.0,3100.0,10,2010-04-16
37,3114.0,3114.0,3114.0,3100.0,0,2010-04-19
38,3414.0,3414.0,3414.0,3400.0,280,2010-04-20
39,3752.0,3789.0,3448.0,3800.0,8300,2010-04-21
40,3714.0,3714.0,3714.0,3700.0,500,2010-04-22
41,3376.0,3376.0,3376.0,3400.0,10020,2010-04-26
42,3039.0,3039.0,3039.0,3000.0,10,2010-04-27
43,3189.0,3189.0,3046.0,3200.0,210,2010-04-28
44,3639.0,3639.0,3639.0,3600.0,4550,2010-04-29
45,3939.0,4015.0,3824.0,3900.0,10000,2010-05-04
46,3939.0,4239.0,3939.0,3900.0,1010,2010-05-05
47,4314.0,4470.0,4159.0,4300.0,10030,2010-05-06
48,4577.0,4692.0,4231.0,4600.0,7350,2010-05-07
49,4802.0,4915.0,4726.0,4800.0,13770,2010-05-10
50,4839.0,4952.0,4802.0,4800.0,33020,2010-05-11
51,4389.0,4502.0,4389.0,4400.0,3520,2010-05-12
52,4389.0,4585.0,4193.0,4400.0,2000,2010-05-13
53,4127.0,4573.0,4090.0,4100.0,2260,2010-05-14
54,4127.0,4127.0,4090.0,4100.0,7000,2010-05-17
55,4164.0,4164.0,4164.0,4200.0,3020,2010-05-18
56,4164.0,4202.0,4127.0,4200.0,10710,2010-05-19
57,4202.0,4239.0,4202.0,4200.0,7850,2010-05-20
58,3939.0,3975.0,3760.0,3900.0,4050,2010-05-21
59,4127.0,4089.0,4089.0,4100.0,0,2010-05-25
60,4127.0,4089.0,4089.0,4100.0,0,2010-05-26
61,4127.0,4089.0,4089.0,4100.0,0,2010-05-27
62,4127.0,4089.0,4089.0,4100.0,0,2010-05-28
63,4127.0,4089.0,4089.0,4100.0,0,2010-05-31
64,4127.0,4089.0,4089.0,4100.0,0,2010-06-01
65,4089.0,4089.0,4089.0,4100.0,900,2010-06-02
66,4127.0,4127.0,4127.0,4100.0,2200,2010-06-03
67,4314.0,4352.0,4238.0,4300.0,10400,2010-06-07
68,3939.0,3939.0,3939.0,3900.0,1000,2010-06-08
69,3939.0,3939.0,3939.0,3900.0,2000,2010-06-10
70,3977.0,3977.0,3977.0,4000.0,0,2010-06-14
71,3977.0,3977.0,3977.0,4000.0,0,2010-06-15
72,3939.0,3902.0,3902.0,3900.0,2000,2010-06-16
73,3939.0,3939.0,3939.0,3900.0,0,2010-06-17
74,3939.0,3939.0,3939.0,3900.0,0,2010-06-18
75,3939.0,3939.0,3939.0,3900.0,0,2010-06-21
76,4052.0,4052.0,4052.0,4100.0,600,2010-06-22
77,4052.0,4052.0,4052.0,4100.0,2350,2010-06-24
78,4052.0,4052.0,4052.0,4100.0,0,2010-06-25
79,4089.0,4089.0,4052.0,4100.0,3000,2010-06-28
80,4089.0,4127.0,4127.0,4100.0,0,2010-06-29
81,4127.0,4127.0,4127.0,4100.0,200,2010-06-30
82,4127.0,4127.0,4127.0,4100.0,2000,2010-07-01
83,4539.0,4695.0,4268.0,4500.0,35370,2010-07-02
84,4802.0,4840.0,4462.0,4800.0,40110,2010-07-05
85,5215.0,5215.0,5215.0,5200.0,71300,2010-07-06
86,5252.0,5474.0,5178.0,5300.0,11400,2010-07-07
87,4877.0,5252.0,4802.0,4900.0,392400,2010-07-08
88,5065.0,5365.0,5065.0,5100.0,1010,2010-07-09
89,4765.0,5110.0,4385.0,4800.0,6190,2010-07-12
90,5252.0,5359.0,4436.0,5300.0,158300,2010-07-13
91,5515.0,5655.0,4817.0,5500.0,1063100,2010-07-14
92,5815.0,6097.0,5040.0,5800.0,44300,2010-07-15
93,5140.0,5499.0,4888.0,5100.0,15100,2010-07-19
94,4839.0,4877.0,4839.0,4800.0,30700,2010-07-20
95,4652.0,4839.0,4577.0,4700.0,6100,2010-07-21
96,4539.0,4616.0,4387.0,4500.0,22500,2010-07-22
97,4652.0,4877.0,4577.0,4700.0,17200,2010-07-23
98,4839.0,4988.0,4653.0,4800.0,75000,2010-07-26
99,4502.0,4502.0,4502.0,4500.0,7500,2010-07-27
100,4427.0,4502.0,4352.0,4400.0,3200,2010-07-28
101,4427.0,4722.0,4132.0,4400.0,10000,2010-07-29
102,4314.0,4494.0,4314.0,4300.0,4000,2010-07-30
103,4314.0,4632.0,4067.0,4300.0,12200,2010-08-02
104,4314.0,5014.0,4275.0,4300.0,3300,2010-08-04
105,4502.0,4867.0,4542.0,4500.0,92500,2010-08-05
106,4352.0,4428.0,4047.0,4400.0,2500,2010-08-06
107,4014.0,4088.0,3903.0,4000.0,8300,2010-08-09
108,3939.0,3975.0,3794.0,3900.0,9300,2010-08-10
109,4014.0,4052.0,3976.0,4000.0,11400,2010-08-11
110,4014.0,3977.0,3977.0,4000.0,0,2010-08-12
111,4089.0,4089.0,4089.0,4100.0,1500,2010-08-13
112,4389.0,4427.0,4351.0,4400.0,4200,2010-08-16
113,3939.0,4088.0,3902.0,3900.0,6900,2010-08-17
114,4052.0,4052.0,3939.0,4100.0,2500,2010-08-18
115,3939.0,4136.0,3860.0,3900.0,8400,2010-08-19
116,4052.0,4052.0,4052.0,4100.0,3000,2010-08-20
117,3789.0,3789.0,3789.0,3800.0,2000,2010-08-23
118,3789.0,4028.0,3430.0,3800.0,800,2010-08-25
119,3864.0,4103.0,3784.0,3900.0,6000,2010-08-26
120,3639.0,3936.0,3602.0,3600.0,1100,2010-08-27
121,3939.0,3976.0,3939.0,3900.0,4200,2010-08-30
122,3977.0,4050.0,3866.0,4000.0,2300,2010-08-31
