,Open,High,Low,Close,Volume,TradingDate
0,2511.0,2720.0,2511.0,2637.0,6600,2006-12-25
1,2720.0,2720.0,2720.0,2825.0,1700,2006-12-26
2,3034.0,3034.0,3034.0,3108.0,3000,2006-12-27
3,3348.0,3348.0,3348.0,3411.0,10000,2006-12-28
4,3662.0,3662.0,3557.0,3662.0,8200,2006-12-29
5,3976.0,3976.0,3662.0,3871.0,13300,2007-01-02
6,4185.0,4185.0,3767.0,4018.0,5000,2007-01-03
7,3767.0,3871.0,3557.0,3662.0,7000,2007-01-04
8,3557.0,3557.0,3453.0,3589.0,2600,2007-01-05
9,3348.0,3348.0,3139.0,3275.0,4000,2007-01-08
10,3244.0,3244.0,3034.0,3244.0,2600,2007-01-09
11,3244.0,3348.0,3244.0,3348.0,2300,2007-01-10
12,3453.0,3453.0,3348.0,3453.0,2300,2007-01-11
13,3453.0,3453.0,3453.0,3537.0,1600,2007-01-12
14,3348.0,3453.0,3139.0,3244.0,3800,2007-01-15
15,3348.0,3348.0,3348.0,3400.0,1700,2007-01-16
16,3244.0,3348.0,3139.0,3191.0,4400,2007-01-17
17,3034.0,3034.0,3034.0,3087.0,5100,2007-01-18
18,3139.0,3244.0,3034.0,3348.0,500,2007-01-19
19,3139.0,3453.0,3034.0,3348.0,2900,2007-01-22
20,3453.0,3453.0,3244.0,3348.0,400,2007-01-23
21,3139.0,3139.0,3139.0,3191.0,700,2007-01-24
22,3139.0,3139.0,3139.0,3191.0,700,2007-01-25
23,2930.0,2930.0,2930.0,3034.0,100,2007-01-26
24,3139.0,3244.0,3139.0,3296.0,1100,2007-01-29
25,3244.0,3244.0,3139.0,3244.0,2800,2007-01-30
26,3139.0,3244.0,3139.0,3327.0,2000,2007-01-31
27,3557.0,3557.0,3244.0,3296.0,6300,2007-02-01
28,3348.0,3348.0,3244.0,3348.0,1100,2007-02-02
29,3139.0,3139.0,3034.0,3244.0,4800,2007-02-05
30,3034.0,3244.0,3034.0,3139.0,4800,2007-02-06
31,3139.0,3139.0,3139.0,3244.0,4500,2007-02-07
32,3453.0,3453.0,3453.0,3547.0,8500,2007-02-08
33,3557.0,3767.0,3453.0,3610.0,13400,2007-02-09
34,3662.0,3767.0,3662.0,3767.0,9200,2007-02-12
35,4081.0,4081.0,3662.0,3756.0,7500,2007-02-13
36,3767.0,4081.0,3662.0,3767.0,15300,2007-02-14
37,3767.0,3976.0,3662.0,3871.0,5700,2007-02-15
38,3767.0,4185.0,3767.0,4238.0,6500,2007-02-26
39,4290.0,4394.0,4290.0,4457.0,13900,2007-02-27
40,4813.0,4813.0,4604.0,4886.0,19900,2007-02-28
41,4918.0,5022.0,4499.0,4813.0,17700,2007-03-01
42,4708.0,4918.0,4604.0,4761.0,14700,2007-03-02
43,5022.0,5127.0,4604.0,4865.0,11800,2007-03-05
44,4813.0,5232.0,4708.0,5378.0,35600,2007-03-06
45,5441.0,5441.0,5441.0,5619.0,11500,2007-03-07
46,6069.0,6069.0,6069.0,6027.0,15400,2007-03-08
47,6592.0,6592.0,6592.0,6623.0,14700,2007-03-09
48,7324.0,7324.0,7324.0,7282.0,27800,2007-03-12
49,8057.0,8057.0,6906.0,7805.0,34400,2007-03-13
50,7324.0,7324.0,6906.0,6906.0,15400,2007-03-14
51,6278.0,6278.0,6278.0,6236.0,3700,2007-03-15
52,5859.0,6487.0,5650.0,6278.0,11100,2007-03-16
53,6487.0,6487.0,6278.0,6518.0,11300,2007-03-19
54,7115.0,7115.0,6592.0,6592.0,13200,2007-03-20
55,6801.0,6801.0,6592.0,6592.0,6000,2007-03-21
