,Open,High,Low,Close,Volume,TradingDate
0,2286.0,4687.0,4192.0,4535.0,16700,2006-10-09
1,2286.0,4668.0,4382.0,4496.0,7800,2006-10-10
2,2286.0,4573.0,4477.0,4516.0,8100,2006-10-11
3,2477.0,4554.0,4516.0,4535.0,3400,2006-10-12
4,2286.0,4554.0,4516.0,4535.0,17800,2006-10-13
5,2477.0,4573.0,4554.0,4573.0,7100,2006-10-16
6,2477.0,4725.0,4535.0,4554.0,11100,2006-10-17
7,2477.0,4573.0,4496.0,4535.0,3900,2006-10-18
8,2477.0,4554.0,4496.0,4516.0,9100,2006-10-19
9,2286.0,4516.0,4477.0,4516.0,5300,2006-10-20
10,2286.0,4496.0,4477.0,4477.0,1400,2006-10-23
11,2286.0,4477.0,4458.0,4477.0,300,2006-10-24
12,2286.0,4420.0,4382.0,4401.0,1700,2006-10-25
13,2286.0,4382.0,4363.0,4382.0,600,2006-10-26
14,2286.0,4382.0,4382.0,4382.0,400,2006-10-27
15,2286.0,4287.0,4192.0,4249.0,1000,2006-10-30
16,2286.0,4324.0,4174.0,4249.0,200,2006-10-31
17,2286.0,4325.0,4249.0,4287.0,2200,2006-11-01
18,2286.0,4249.0,4192.0,4211.0,2300,2006-11-02
19,2286.0,4287.0,4230.0,4249.0,8000,2006-11-03
20,2286.0,4287.0,4249.0,4268.0,13300,2006-11-06
21,2286.0,4382.0,4287.0,4363.0,4600,2006-11-07
22,2286.0,4496.0,4382.0,4458.0,6600,2006-11-08
23,2286.0,4573.0,4477.0,4535.0,10800,2006-11-09
24,2477.0,4763.0,4573.0,4592.0,3400,2006-11-10
25,2477.0,4668.0,4573.0,4592.0,6200,2006-11-13
26,2286.0,4458.0,4382.0,4401.0,7000,2006-11-14
27,2286.0,4401.0,4382.0,4401.0,3100,2006-11-15
28,2286.0,4458.0,4458.0,4458.0,2000,2006-11-16
29,2286.0,4477.0,4439.0,4458.0,2400,2006-11-17
30,2286.0,4573.0,4477.0,4535.0,7700,2006-11-20
31,2477.0,4611.0,4573.0,4592.0,6700,2006-11-21
32,2477.0,4592.0,4573.0,4573.0,6400,2006-11-22
33,2477.0,4611.0,4573.0,4592.0,4700,2006-11-23
34,2477.0,4668.0,4611.0,4630.0,10000,2006-11-24
35,2477.0,4668.0,4668.0,4630.0,0,2006-11-27
36,2477.0,4668.0,4668.0,4668.0,4000,2006-11-28
37,2477.0,4687.0,4573.0,4668.0,14400,2006-11-29
38,2477.0,4801.0,4706.0,4763.0,17000,2006-11-30
39,2477.0,4897.0,4858.0,4897.0,9000,2006-12-01
40,2667.0,4897.0,4897.0,4897.0,2000,2006-12-04
41,2667.0,5335.0,5144.0,5240.0,10200,2006-12-05
42,2667.0,5240.0,5106.0,5125.0,4800,2006-12-06
43,2667.0,4973.0,4858.0,4916.0,6000,2006-12-07
44,2667.0,4934.0,4821.0,4858.0,18500,2006-12-08
45,2477.0,4954.0,4763.0,4897.0,10500,2006-12-11
46,2477.0,4897.0,4858.0,4878.0,1500,2006-12-12
47,2477.0,4858.0,4820.0,4820.0,1700,2006-12-13
48,2477.0,4973.0,4820.0,4954.0,9800,2006-12-14
49,2477.0,4839.0,4744.0,4763.0,5500,2006-12-15
50,2477.0,4782.0,4591.0,4763.0,2800,2006-12-18
51,2477.0,4782.0,4744.0,4763.0,4300,2006-12-19
52,2477.0,4687.0,4687.0,4763.0,0,2006-12-20
53,2667.0,4780.0,4541.0,4706.0,3000,2006-12-21
54,2477.0,4801.0,4801.0,4801.0,1000,2006-12-22
55,2477.0,4801.0,4801.0,4801.0,0,2006-12-25
56,2477.0,4763.0,4763.0,4763.0,2000,2006-12-26
57,2477.0,4976.0,4663.0,4858.0,7500,2006-12-27
58,2667.0,4876.0,4466.0,4858.0,5100,2006-12-28
59,2667.0,4915.0,4821.0,4858.0,1400,2006-12-29
60,2477.0,4858.0,4858.0,4858.0,1000,2007-01-02
61,5087.0,5144.0,4801.0,5087.0,2200,2007-01-03
62,2667.0,5125.0,5125.0,5125.0,2000,2007-01-04
63,2667.0,5163.0,4954.0,5125.0,13600,2007-01-05
64,2667.0,5125.0,5125.0,5125.0,3600,2007-01-08
65,2477.0,4956.0,4858.0,4858.0,2400,2007-01-09
66,2667.0,5200.0,4840.0,4858.0,7900,2007-01-10
67,2667.0,4954.0,4954.0,4954.0,2200,2007-01-11
68,2667.0,5105.0,4916.0,4954.0,19500,2007-01-12
69,2667.0,5512.0,5197.0,5335.0,13700,2007-01-15
