,exchange,shortName,industryID,industryIDv2,industry,industryEn,establishedYear,noEmployees,noShareholders,foreignPercent,website,stockRating,deltaInWeek,deltaInMonth,deltaInYear,outstandingShare,issueShare,companyType,ticker,status,code,message,traceId
0,UPCOM,Đầu tư Phát triển Máy Việt Nam,211.0,3353,Ô tô và phụ tùng,Automobiles & Parts,,352.0,105.0,0.0,https://vimid.vn,3.3,-0.017,-0.032,,20.5,20.5,CT,VVS,,,,
1,UPCOM,Xây dựng Công trình Tân Cảng,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,,110.0,0.0,0.0,https://saigonnewport.com.vn,3.7,-0.017,-0.042,,9.0,0.0,CT,XDC,,,,
2,UPCOM,Gang Thép Hà Nội,159.0,1757,Tài nguyên Cơ bản,Basic Resources,2013,0.0,109.0,0.003,https://gangthephanoi.com,3.7,-0.017,-0.092,-0.42,15.7,15.7,CT,HSV,,,,
3,UPCOM,Than Cao Sơn - TKV,160.0,1771,Tài nguyên Cơ bản,Basic Resources,2020,3473.0,5157.0,0.043,http://thancaoson.vn,4.0,-0.062,-0.061,0.557,42.8,42.8,CT,CST,,,,
4,UPCOM,BV Land,339.0,8637,Bất động sản,Real Estate,2008,46.0,175.0,0.0,http://bvland.vn,,-0.007,-0.304,-0.475,57.3,57.3,CT,BVL,,,,
5,UPCOM,ĐT PT Sài Gòn 3 Group,226.0,3763,Hàng cá nhân & Gia dụng,Personal & Household Goods,2018,0.0,490.0,0.0,https://www.saigon3group.com.vn,3.6,-0.028,0.021,-0.062,75.5,75.5,CT,SGI,,,,
6,UPCOM,Dịch vụ biển Tân Cảng,316.0,573,Dầu khí,Oil & Gas,2012,663.0,160.0,0.0,https://tancangoffshore.com,3.8,0.01,-0.016,-0.085,31.0,31.0,CT,TOS,,,,
7,HNX,Nhựa Việt Thành,150.0,1353,Hóa chất,Chemicals,2011,397.0,245.0,0.001,https://vithacoplastic.com,3.4,-0.029,0.024,-0.017,23.0,23.0,CT,VTZ,,,,
8,UPCOM,Phát triển Sunshine Homes,336.0,8633,Bất động sản,Real Estate,2015,0.0,243.0,0.0,https://ssh.vn,2.9,-0.014,-0.019,-0.1,375.0,375.0,CT,SSH,,,,
9,UPCOM,Công ty B.C.H,159.0,1757,Tài nguyên Cơ bản,Basic Resources,2004,0.0,114.0,0.0,https://bch.com.vn,3.3,-0.017,-0.042,-0.325,19.0,19.0,CT,BCA,,,,
10,HOSE,Quỹ Đầu tư Tăng trưởng Thiên Việt 3,302.0,8985,Dịch vụ tài chính,Financial Services,2019,0.0,0.0,0.0,https://www.tvam.vn/vi,5.0,-0.017,-0.042,0.686,19.9,19.9,QU,FUCTVGF3,,,,
11,HOSE,ETF IPAAM VN100,302.0,8985,Dịch vụ tài chính,Financial Services,2019,0.0,0.0,0.009,https://ipaam.com.vn/vi/home,5.0,0.01,0.021,-0.027,5.7,5.7,QU,FUEIP100,,,,
12,HOSE,Minh Hưng Quảng Trị,180.0,2353,Xây dựng và Vật liệu,Construction & Materials,2006,405.0,173.0,0.001,http://minhhungqt.vn,4.2,-0.026,-0.08,-0.259,16.5,16.5,CT,GMH,,,,
13,UPCOM,BIG Invest Group,339.0,8637,Bất động sản,Real Estate,2017,0.0,140.0,0.001,https://biginvestgroup.vn,3.5,-0.19,-0.428,-0.501,5.0,5.0,CT,BIG,,,,
